proverb_id,kikuyu_proverb,og_rag_translation,traditional_rag_translation,raw_llm_translation,expert_translation,cultural_context,business_scenario,complexity_level
MW_011,Gitonga kigiragio iganjo gikaarima,"Wealth is like a garden, it must be tended.",A rich man does not dance on his own farm.,Wealth that comes suddenly disappears suddenly.,The rich man cannot be prevented from cultivating the “iganjo”he wants.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_012,Gitonga kiriaga munyuko.,Wealth whispers to its owner.,Wealth attracts friends.,Wealth announces itself in the morning.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",Growing in age and wealth are not simultaneous.,Ruling and leading cannot be hidden.,Ruling and leading do not go hand in hand.,Poverty and riches do not leave each other.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_014,Gutiri kiega kiumaga heega.,There is no wisdom in hoarding wealth.,There is no easy path to a good harvest.,There is no festival that passes without leaving a mark.,"There is nothing that is of worth, that is obtained from the comfort corner.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_015,"Gutiri mburi itangiracio, tiga inawathe.","There is no goat that begins by giving birth to twins, don't be in a rush.","There is no goat that starts a fight, it does not know if it will survive.",There is no sheep that starts grazing and gets full immediately.,"Any goat can serve as brideswealth, unless it has a defect.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_016,Gutiri munini mukia.,There's no great dawn without its own darkness.,There is no great morning.,There is no great morning.,No young person can be considered poor.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_017,Gutiri uthuire tiga akiaga.,There's no wealth without toil.,There is no smoke without a fire.,There is no sleep without a dream.,"A man is poor not because he scorns possessions, but because he possesses nothing.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_018,Guthiina ti kuriita,Planting is not the same as harvesting.,Staying is not being rich.,Being silent is not cowardice.,To be poor does not connote being foolish.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_019,Guthinga kurugite gutonga.,To sow is to know wealth.,Planting is not as hard as governing.,Planting is more difficult than governing.,Virtue is better than riches.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_020,Gutiri mbura itari gitonga kiayo.,There is no rain that doesn't bring its own wealth.,There is no rain that doesn't benefit something.,There is no rain without its own blessings.,There is no rain that does not bring wealth to someone.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_021,Gutiri ngia itari muthenya wayo.,There is no beast without its own hunting time.,There is no beast without its day.,There is no beast without its day.,Every poor person has his day.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_022,Gutiri uriragio ni utonga no ukia.,There is no wealth without perseverance and patience.,There is no darkness that can prevent wealth and wisdom.,There is no poverty where there is hard work and perseverance.,"Nobody grumbles at being rich, only at being poor.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_023,Gwa gitonga gucokagirirwo ni mambura.,The path to wealth is paved with patience.,The seat of power is maintained by followers.,The seat of power is maintained by gifts.,The home of a rich man is revisited during a ceremony (especially burial).,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_024,Haro ni ya muka uri thiiri,The farm belongs to the mother as long as she lives.,The farm belongs to the woman who tills it.,The best food is the one that has been cooked at home.,Quarrelling is the hallmark of the woman who has debts.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_025,Hinya nduri indo,Strength is not wealth.,Strength is not in the legs.,Strength is better than wealth.,Strength has no wealth.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_026,Indo ciene inoragia mundu itina rimwe. W,"Wealth that is shared enriches the community, but wealth that is hoarded enriches only one.",A good thing makes the world have one language.,"A good thing sells itself, a bad one advertises itself.",Other people’s property fattens only one buttock.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_027,Indo ciene iri mutino.,Wealth that comes quickly disappears just as fast.,The best food is in the pot.,A beautiful thing is loved when it's new.,Stolen goods bring misfortune.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_028,,,,,,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_029,Indo ni kurimithanio,Wealth is a result of hard work.,Wealth is a test.,Wealth is to be shown by deeds.,Wealth comes by cultivating together.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_030,Indo ni mwene.,Wealth belongs to its owner.,Wealth belongs to the owner.,The house belongs to its owner.,Wealth is all about the owner.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_031,Iroobagia ha muoni.,The one who borrows does not prosper.,It is being discussed in the river.,The one who is being carried does not realize how far the forest is.,They (vultures) haunt the yard of a wealthy man.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_032,Itonga igiri itiri nyoni.,Two sources of wealth do not lack a songbird.,Two tongues cannot sing a song.,Two iron smelting tools do not make a blacksmith.,Two rich persons do not wish each other a bird of ill omen.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_033,Kahora kari indo.,Every homestead has its own wealth.,Every market has its own customers.,Every market has its own customers.,Steadiness makes wealth.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_034,Kigina gitiinikagwo irio hande itari nguru.,A tree that bears no fruit is not worth the best soil.,A tree that does not produce good fruits is not hit with stones.,A small cooking pot does not satisfy one with a big appetite.,The seed-storing calabash should never be drained before the new crop has matured.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_035,Kihoto ni indo.,A home is wealth.,A home is wealth.,A pot is wealth.,A fair argument is wealth.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_036,Kirema mbeeca ni kigariure. .,A borrowed garment is always uncomfortable.,A bad dancer blames the floor.,A wound inflicted by a friend is not easily healed.,That which is beyond the power of money must be manipulated.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_037,Kumaatha gutiri hinya ta kuramata.,To consume is not as powerful as to produce.,Having knowledge is not as powerful as applying it.,Eating does not require strength like working does.,To acquire wealth is not as difficult as good stewardship.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_038,Kumaatha gutiri hinya ta kuramata.,To merely dream does not equate to the strength of action.,Having knowledge is not as powerful as applying it.,Eating does not give strength like working does.,To acquire wealth is not as difficult as good stewardship.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_039,Kuri mwoni na muraata thi.,The path to wealth is paved with diligence and patience.,There is darkness and light in the world.,It is better to see than to be told.,There is one who finds wealth and one who merely mends the surface of its cracks.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_040,Kuria thiiri wene ni kuriha.,To eat alone is to choke.,The place where you prosper is your homeland.,The one who prepares the food is not the one who eats it most.,The way of eating a debt is paying it.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_041,Mbari ya uri moigaga matikaaga.,A family that is united stands firm.,The clan that is united stands firm.,The family that is united does not break.,The family of the haves often say that they will never lack.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_042,Mbeeca itiri mwana kana nyina.,Poverty spares neither child nor mother.,A goat does not bear a child without a mother.,"A goat does not bear a calf, nor does a cow bear a kid.",With money there is no child or mother.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_043,Mucii uri mburi ndwagaga kihuno.,A home that has goats does not lack a cooking pot.,"At home, where there are goats, they bleat loudly.",Home is where the heart feels at ease.,A homestead with goats does not lack miscarriages.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_044,Mugunda ni mugema wa mwene. W,The land is the servant of its owner.,The farm is the pride of the owner.,The owner best knows where the farm is fertile.,A farm is the ornament of the owner.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_045,Mugunda wene nduinagwo.,One does not inherit their own farm.,The main homestead is not deserted.,Every man's field is well known to him.,Another’s field is not praised.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_046,Mugurira hakuhi nita aheo.,"He who hoards wealth, shares it with the mice.",He who is patient will see the dawn.,He who waits for leftovers will not get enough.,The man who buys something at a place near by is like the man who is given something.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_047,Muhakana na ciake itimuuragira. .,One who despises their own will not prosper.,He who denies his own will not be enriched.,One who despises his own will not be honored.,He who stands close to his property does not lose it.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_048,Muici ndathiragwo ni mari hindi.,The diligent hand reaps wealth.,A farmer is rewarded with a good harvest.,A person is valued for his wealth.,The thief cannot keep fit because his stools contain undigested food.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_049,Muici uri hunyu arindagira uri maguta.,The one who is in the forest does not laugh at the one who is lost.,A traveler does not fear a long journey.,The one who is in the kitchen feels the heat more than the one who is in the living room.,"An ugly thief is more likely to be caught than one smeared with fat, i.e. carefully dressed.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_050,Muici utari munyiite ni muria gake.,A silent trader owns his own market.,A silent person has his own wisdom.,A silent person has his own wisdom.,A thief who has not been caught is like a proprietor who has just spent his own money.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_051,Mukoobi thiiri ndendete kuriha. .,A beggar's hand does not reach the top shelf.,The visitor does not carry the cooking pot.,A visitor does not carry firewood to his host's place.,He who borrows does not like repaying.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_052,Mundu-muka ndatumagwo thiriini.,A woman is not sold for thirty goats.,A woman is not shown the way to her in-laws.,A person is not shown his/her adulthood.,A woman is not sent to fetch debts.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_053,"Muriio wa njoohi niuriukagwo, no wa indo nduriukagwo. . (GJW M 341, Ba","The poverty of a wanderer is seen, but the poverty of the wealthy is hidden.","The one who is given beer is not told to go, but the one who is given food is told to go.","The one who is given beer is not told to go away, but the one who is given food is told to go away.","The drunkenness of beer passes away, but that of wealth does not.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_054,"Muthiini niathinukaga, no munyamaari ndathiinukaga.","The poor man's goat gives birth, but the rich man's goat is the one that multiplies.","The traveler gets tired, not the guide.","The one who is in the forest does not laugh, but the one who has come out does.","A poor man can overcome poverty, but a man poor at heart can never.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_055,Muthinio ni kuona akiriite muthinio ni waagi.,Seeing the dawn is not the same as surviving the day.,"Seeing is different from being told, experiencing is different from hearing.",Seeing is different from being told.,He who is troubled by wealth surpasses the one troubled by poverty.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_056,Mutongi ndathethukaga. .,The guest does not dictate the menu.,The traveler does not get lost.,A guest does not host themselves.,Whoever would like to be rich must have patience.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_057,Mutongi ndathethukaga. .,The generous hand never lacks.,The traveler does not get lost.,The guest has not been insulted.,Whoever would like to be rich must have patience.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_058,Mwana ni indo.,A child is wealth.,A child is wealth.,A child is a thing.,A child bears prosperity.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_059,Mwana wa kahii ti wa kairiitu.,The child of a poor man is not the same as the child of a rich man.,The child of a frog is not the child of a squirrel.,A son of the soil is not a visitor.,"A male child, is not a female child.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_060,Mwanake wi na indo ndoihanaga.,A man with wealth does not go unnoticed.,A man who has wisdom does not get lost.,A man does not lack something to say.,"The youth who has enough to buy his girl, need not beseech her.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_061,Mwendia niaguraga.,"The one who loves, builds.",The one who loves you warns you.,A traveler is taught by the journey.,The one who sells also buys.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_062,Muthuuri athikagwo na indo.,A trader is not despised for his wealth.,An old man is not tempted by wealth.,A traveler is not shamed by his luggage.,An old man is buried with his wealth.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_063,Ndonga imwe ndihingaga iriuko.,One finger alone cannot kill a louse.,One finger cannot kill a louse.,One finger cannot kill a louse.,A rich man cannot block the ford.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_064,Ndonga naanu irugiitwo ni mukari.,The spear that you have been given is from the blacksmith.,The cow that has been sold is the one that is praised by the buyer.,The spear that has been loaned is not used like one's own.,"An arrogant rich man, is surpassed by a miser.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_065,Ndugu nyingi ithaatagia muhuko.,Many siblings do not lack a shoulder to lean on.,Many siblings do not guarantee inheritance.,Many siblings make the load lighter.,Many acquaintances deplete the pocket.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_066,Ngai ndoonagio nda.,God does not despise the poor.,God has not given me hate.,God does not give birth.,God is not shown one’s belly.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_067,Ngia itari thiiri ti ngia.,A goat without a shepherd is not a goat.,A cow without a calf is not a cow.,A goat that doesn't roam will not be a goat.,A poor person with no debts is not so poor a person.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_068,,,,,,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_069,"Riua ritiri gitonga no ngia theri. (Riua ritiui gitonga no ngia their) (GJW R 23,Ba",A river does not flow with wealth for the poor.,The river does not break its banks without cause.,A river does not prevent the growth of reeds on its banks.,"The sun has no rich people, but only the poor people.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_070,Ruthuuro rutiiyuragia ikumbi,Borrowed feathers do not make a fine bird.,A small leak will sink a great ship.,A secret does not cross the doorway.,Selected goods do not fill the granary.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_071,Ruua rukuhi rutiri thogora.,A small river does not prevent the cultivation of crops.,A river that flows does not need a leader.,A borrowed cooking pot does not have a lid.,A short hide is of no value.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_072,,,,,,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_073,Thiina nduri miri .,The journey is long for the one who travels alone.,The journey is not seen by the hill.,The journey of a thousand miles starts with one step.,Poverty has no roots.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_074,Thiiri utarihwo no wa urogi.,A river is not cursed by those who drink from it.,A secret is not bewitched by a witch.,A journey is not cursed by the one who does not undertake it.,The only debt which is not payable is the one of poisoning someone.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_075,Thogora nduri mwana na nyina.,A borrower is a child to his lender.,Raise a child with both the mother and father.,A secret is between the child and the mother.,"In business bargain, there is no child or mother.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_076,Thogora ni mururumo utaruo.,A borrowed coat does not warm the body.,A visitor brings freshness if he does not overstay.,"A secret is like a growing tumor, it will eventually reveal itself.",Buying and selling causes much noice but no strife.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_077,Thogora ni maitho.,Wisdom is in the eyes.,Leadership is eyes.,Observation is the key to learning.,Buying and selling involves the eyes.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_078,Thogora uuragagwo ni kiongereri.,The one who perseveres is the one who wears the crown.,A secret is only known when revealed.,The one who is absent is always wrong.,A bargain breaks down over the extra demand.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_079,Tiga kwihira uriri wi riikoini. GJW T 85) MW,"Do not despise the small beginnings, for they are the roots of prosperity.","Do not despise a small beginning, it grows to be a big tree.","Do not despise a small beginning, the dawn is friend to the day.",When you are poor do not equate yourself with the rich.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_080,Uhunii eetaga uhutii mukoroku. .,The one who seeks honey must brave the bees.,The one who fetches firewood is the one who gets pricked by thorns.,The one who fetches firewood is the one who gets pricked by thorns.,"He who is satisfied, calls the hungry one greedy.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_081,Ukari muhithe ndumenanagirwo. MW,Wealth is not found in the hands of the stingy.,You do not show a monkey a ripe banana.,A guest is not served food that is not good.,Hidden miserliness does not attract scorn.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_082,"Urugari nduri indo, ni heho iri indo.","A borrowed coat does not provide warmth, true warmth comes from one's own coat.","The forest that you know, is better than the unknown path.","A market is not a farm, it is wisdom that is wealth.","Warmth has no wealth, it is the cold that has.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_083,Urume uri iraria.(Urume wi indo),A borrower is a slave. (A borrower is not wealthy),The man is a blessing. (The man has wealth),A visitor brings blessings. (A visitor brings food),Bravery brings wealth.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_084,Utaana uminagira murokerwo ng’ombe.,The one who despises the calf will not own a cow.,You don't appreciate the value of a cow until you lose it.,You don't show a grown-up how a cow is roped.,Generosity ruins the man who gives his cows to morning visitors.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_085,Utari ndari ngoro (Githumbi/ githumba gitiri ngoro),A home without a heart is not a home (A hollow gourd makes no sound),There is no heart in a stomach (A big stomach doesn't have a heart).,The stomach is not a sack (A big stomach doesn't mean a big heart).,He who has nothing has no heart.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_086,Utari ndeetagwo ndundu. .,One does not inherit poverty.,A place is not deserted without reason.,A place you have never been to is called a wilderness.,A poor man is not invited to a private discussion.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_087,Utari ni wa kwa mari. (Muthiini egiritagia itonga) .,No one is born with wealth. (The morning sun does not promise riches).,He who is not at home does not inherit. (The absent one does not participate in the division of property).,A poor man does not rule. (He who lacks counsel cannot lead).,"A poor man leans on the rich. Kiswahili : Maskini hutegemea matajiri. Meaning: Each person needs another, regardless of status. Teaching: This proverb teaches that within a family or community, people cannot be equal. Some are poor and others rich. But they need each other for daily objectives to be achieved. Bible parallel: 1 Thessalonians 5:11 “Therefore encourage one another and build each other up, just as in fact you are doing.”","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_088,Uthaka nduriagwo.,The poor are not consulted.,Soil is not sold.,A cooking pot is not ridiculed.,Beauty is not consumed.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_089,Uthaka wa mundurume ni mbeeca. M,A man's wealth is his character.,The wealth of a man is his sheep.,The wealth of a man is his sheep.,The beauty of a man is money.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_090,Uthuri wa gitonga ndunungaga.,The path to wealth is not walked in a day.,The silence of the rich screams.,The owner of wealth is never satisfied.,A rich man’s breaking of wind is odourless.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_091,Utonga nduhanyukagiruo.,Wealth is not stumbled upon.,Wealth does not bring happiness.,A gift does not get lost on the way.,Riches are not rushed for.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_092,Utonga nduri nyoni.,Wealth is like a bird.,The early bird catches the worm.,The early bird catches the worm.,Riches have no bird of ill will.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_093,Utonga ni kiiruru.,Wealth is a shadow.,Wealth is a shadow.,Poverty is a hindrance.,Riches are but a shadow.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_094,Utonga ni wa ngai.,Wealth is God's gift.,Wealth belongs to God.,Wealth belongs to God.,Wealth belongs to God.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_095,Utonga wa muthiini ni ciana. W,The wealth of the impoverished lies in their offspring.,The wealth of a bachelor is children.,The wealth of a home is its children.,The wealth of the poor consists in having children.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_096,"Utonga wa muici nduthuunaga, na ni uteeaga wake.","The wealth of the wicked is fleeting, and it does not satisfy.","The wealth of a thief is short-lived, and it does not benefit him.","The poverty of a wise man is not obvious, it is his own secret.","Unlawful riches do not prosper, they ruin even the legitimate ones.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_097,Waariire aanyamaririe weigiire.,"Those who have tasted the sweetness of wealth, will not let it go.",Those who have travelled have stories to tell.,Those who have traveled have seen more than those who have aged.,"He who ate (spent all his resources) persecuted the one who kept some aside. 98.Wagi ndumenanagirwo (GJW W 18, N 641) W English: Poverty does not cause enemity. 99.Waagi wi gitaranio. (KW vol.1 pg 348) W English: Lacking leads to dreamy thoughts of what the opposite would bring. 100.Wooni wi njaci. (Ba 991, KW vol.1 pg 321) MW English: The state of having acquired wealth, breeds contemptuous pride. A COLLECTION OF 100 PROVERBS AND WISE SAYINGS OF THE GIKUYU OF KENYA ABOUT MONEY AND WEALTH","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_098,Wagi ndumenanagirwo.,Borrowed robes do not keep one warm.,They are not called upon who do not respond.,Those who are absent are always wrong.,Poverty does not cause enemity.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_099,Waagi wi gitaranio.,Borrowers do not form a council.,They are birds of the same feather.,Traders love bargaining.,Lacking leads to dreamy thoughts of what the opposite would bring.,"[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
MW_100,"Wooni wi njaci. (woni wi njaci, wagi gitaranjo)",The poor have no friends.,"Seeing is believing. (If you see it with your own eyes, you won't doubt it)","If you see a hyena during the day, it has been chased from its hiding place.","The state of having acquired wealth, breeds contemptuous pride.","[Kikuyu proverb on wealth, entrepreneurship, and traditional wisdom]",[Business and entrepreneurship application],medium
