proverb_id,proverb_number,kikuyu_text,english_translation,cultural_meaning,english_equivalent,source,page_number,primary_theme,extraction_date
GBARRA_0122,122,Gutiri ukinyaga mukinyire wa ungi,Nobody walks with another man’s gait. Every man in his way.,,,Gbarra G. 1939,27,general,2025-10-27
GBARRA_0139,139,"Gwakia kwarama, gwatuka gwakundeera","The day is for working, the night is for resting. There is a time to wink as well as to see.",,,Gbarra G. 1939,30,life,2025-10-27
GBARRA_0142,142,Gwika wega kumathaga ungi,A good action reaps another One good turn deserves another,,,Gbarra G. 1939,31,morality,2025-10-27
GBARRA_0160,160,Iganagwo yaari iria yakua,The good milking cow is praised after her death A friend is never known till needed.,,,Gbarra G. 1939,34,social,2025-10-27
GBARRA_0162,162,Igukua ihuragia kiara,The ox that claws the ‘kiara’ will die. ‘Kiara’ is the dunghill you will find in every Kikuyu village. In order to understand the proverb it much be borne in mind that the Kikuyu,regard it as a sacred place which the witch-doctors dedicates with the sacrifice of a goat to secure that the evil spirits may not return into the hut from which he expelled them. They are supposed to stay in the ‘kiara’ just as the rubbish does Touch pitch and you’ll be defiled.,,Gbarra G. 1939,35,wisdom,2025-10-27
GBARRA_0163,163,Ikuruma ndioragia muguguta,The ox that feeds itself does not spoil its skin.,,,Gbarra G. 1939,35,nature,2025-10-27
GBARRA_0175,175,Iri murungu igiritagia iri kahia,"The ox which has no horns, relies for help on the one that has them He who feels weak relies on the friend he knows is strong.",,,Gbarra G. 1939,37,morality,2025-10-27
GBARRA_0187,187,Igego rithekagia itimu,The tooth laughs with the lance. It means that oftern a person plays with his enemy. The cat plays with the mouse,,,Gbarra G. 1939,40,family,2025-10-27
GBARRA_0188,188,Igwa njithi itiri njohi,Young suga-cane gives no beer There is no putting old heads on young shoulders.,,,Gbarra G. 1939,40,life,2025-10-27
GBARRA_0192,192,Ikinya na thii itiaganaga,The foot and the earth cannot help meeting.,,,Gbarra G. 1939,41,social,2025-10-27
GBARRA_0199,199,Iri gwithamba iticokaga gwota mwaki,Candidates for circumcision 0 after washing do not return to warm themselves at their father’s (but go straightaway to the place of the ceremony to show their courage),In things that must be it is good to be resolute.,,Gbarra G. 1939,42,conflict,2025-10-27
GBARRA_0203,203,Irima rirekagia riemba,"The pit allows the grass to fall in The proverb alludes to the pits the Kikuyu used to dig for trapping wild animals. These pits were covered with sticks over which, as well as","over borders, they put a layer of grass. Since this grass often fell in the pit through the spaces between the sticks, so they say that often one falls into the pit dug by himself. Hoist with his own petard.",,Gbarra G. 1939,43,nature,2025-10-27
GBARRA_0225,225,Kahii ka mwathi kamenyaga kugereka,"The hunter’s son knows how to hunt Like father, like son.",,,Gbarra G. 1939,48,wisdom,2025-10-27
GBARRA_0228,228,Kahiu karathime kariaga nyama cia kinandu,"The blessed knife (son) eats of the meat of the ‘kinandu’ ‘Kinandu’ is a small calabash used to keep oil, fat and the best morsels of meat. They say that the father share the contents of the ‘kinandu’",with the most beloved son.,,Gbarra G. 1939,48,social,2025-10-27
GBARRA_0230,230,Kahunii gatuhaga uriri wa nyina,The fed baby plays on its mother’s bed,,,Gbarra G. 1939,49,family,2025-10-27
GBARRA_0231,231,Kaihu koruri gatigaga kwao gugithinjwo,The rambling pole-cat leaves its house when there is banquet. The son that leaves his father’s house for liberty’s sake will not share his father’s inheritance,,,Gbarra G. 1939,49,social,2025-10-27
GBARRA_0232,232,Kamamiriria gateire mugunda murime,A little idleness lost a tilled field A little leak can sink a great ship,,,Gbarra G. 1939,49,work,2025-10-27
GBARRA_0258,258,Kiambi nda nikio giakura,The food eaten first lasts longest in the stomach First impressions are most lasting.,,,Gbarra G. 1939,55,general,2025-10-27
GBARRA_0272,272,"Kindu kiuru no kironda, indi kiri rua rwa muhuhi",Literal translation: A sore is a really bad thing; still it means luck to the doctor.,,It is an ill wind that blows nobody good.,Gbarra G. 1939,58,work,2025-10-27
GBARRA_0281,281,Kiriro kiri ituura gitingireka mundu akome,Literal translation: One person weeping prevents all in a village from sleeping.,,One barking dog sets all the street a-barking.,Gbarra G. 1939,59,life,2025-10-27
GBARRA_0284,284,Kirimu kihithaga rwembea-ini rwa nyumba kiui gitikuonwo,Literal translation: The fool hides himself under the eaves of the hut and thinks nobody will see him.,It refers to foolish people who invent silly excuses to conceal their faults.,,Gbarra G. 1939,60,wisdom,2025-10-27
GBARRA_0285,285,Kirimu gia gwikigia kirugite kia muciarire,Literal translation: He who feigns to be stupid is more stupid than the stupid-born.,,None is so deaf as those who won’t hear.,Gbarra G. 1939,60,life,2025-10-27
GBARRA_0287,287,Kirimu ni ta mwatu,Literal translation: A fool is like a beehive.,"The proverb means that he is a fool who does not look after his own interest, like the beehive which allows itsself to be emptied.",,Gbarra G. 1939,61,wisdom,2025-10-27
GBARRA_0295,295,Kirihia thuti,Literal translation: Desires tie.,,"If desire be endless, your cares will be so too.",Gbarra G. 1939,62,general,2025-10-27
GBARRA_0296,296,Kiuga githeri gitirutanagirwo,Literal translation: An empty bowl is not offered.,It means that it is better to keep silence than to try to justify oneself by empty excuses.,Be silent or speak something worth hearing.,Gbarra G. 1939,62,general,2025-10-27
GBARRA_0315,315,Kumenya muno ni kumenyuka,Literal translation: Knowing too much is like being ignorant.,,Too much breaks the bag.,Gbarra G. 1939,66,wisdom,2025-10-27
GBARRA_0319,319,Kunyitwo ti kuohwo,Literal translation: To be caught is not to be imrisoned.,,"There is many a slip, ‘twixt the cup and the lip.",Gbarra G. 1939,67,family,2025-10-27
GBARRA_0322,322,Kuri gukahuka guticokaga ndebe,Literal translation: One cannot put the ‘ndebe’ into a broken ear-lobe. done with a wooden bodkin by the parents of the boy or girl in the years preceding the initiation. Pieces of wood are then introduced into,the hole and these will successively be replaced by larger ones until a large wooden ring (‘ndebe’) can be put in as an ornament. The proverb means that these are things once broken cannot be soldered.,‘Ndebe’ is the wooden ring put into the pierced ear-lobe as an ornament. The painful operation of piercing the lobe is,Gbarra G. 1939,67,family,2025-10-27
GBARRA_0376,376,Matuku ti ma kiumia,Literal translation: Not all days are sundays.,,Christmas comes but once in a year.,Gbarra G. 1939,79,life,2025-10-27
GBARRA_0445,445,Mugunda wa mwere umenyagwo na ngetho,Literal translation: One knows a field of millet from its crop.,,A tree is known by its fruits.,Gbarra G. 1939,93,work,2025-10-27
GBARRA_0485,485,Muka mucangacangi ndagaga mwana,Literal translation: A woman that hangs about does not lack children.,"The proverb refers to the married women who, failing to have children of their husbands’, go around looking for other men.",,Gbarra G. 1939,101,family,2025-10-27
GBARRA_0523,523,Mura na mundu ti mura na hiti,Literal translation: To be robbed by a person is different from being robbed by a hyena.,"The proverb means that if you were robbed by a person, you can hope to be recompensed for the damage; but if a member of your family or a head of your herd has been stoled by a hyena, there is no hope for redress.",There are injuries beyond redress.,Gbarra G. 1939,109,nature,2025-10-27
GBARRA_0534,534,Murimi ndoinagwo guoko,Literal translation: One must not break the arm of him who tills the fields.,,Do not kill the goose that lays the golden eggs.,Gbarra G. 1939,111,work,2025-10-27
GBARRA_0535,535,Murimi umwe ndaiyuragia ikumbi,Literal translation: One tiller does not fill the granary.,,Union is strength.,Gbarra G. 1939,112,work,2025-10-27
GBARRA_0558,558,Muthakwa wa athi nduthiragwo ni gicanjara,Literal translation: The ‘muthakwa-tree’ will not discontinue to produce branches of only one shape.,,Like father like son.,Gbarra G. 1939,116,nature,2025-10-27
GBARRA_0575,575,Muthuri utari kahii niwe wiriragira ngururu,Literal translation: The married man who has no son goes himself to scare away the birds from his harvest.,,,Gbarra G. 1939,120,family,2025-10-27
GBARRA_0584,584,Mutirima wa kirimu witirimagia na mugi,Literal translation: A fool’s walking-stick helps the wise man to stand.,This proverb means that wise people know how to get profit from things that a man thinks useless.,A wise man gets learning from those who have none themselves.,Gbarra G. 1939,121,wisdom,2025-10-27
GBARRA_0587,587,Mutumia na kionje ni undu umwe.,Literal translation: A woman and an invalid man are the same thing.,,"Words for women, actions for men.",Gbarra G. 1939,122,general,2025-10-27
GBARRA_0616,616,Mwana wa thahu ndatigaga kiriro,Literal translation: The son of sin does not cease weeping.,,Sin and debts are always more than we think them to be.,Gbarra G. 1939,128,morality,2025-10-27
GBARRA_0620,620,Mwaniki ambe eanike,Literal translation: He who airs something must air himself first.,,No gains without pains.,Gbarra G. 1939,129,general,2025-10-27
GBARRA_0653,653,Nda imwe yumaga muici na murogi,Literal translation: The same womb gives birth to a thief and a poisoner.,,,Gbarra G. 1939,135,conflict,2025-10-27
GBARRA_0659,659,Ndaya ikinyia,Literal translation: The long road arrives (at the goal).,"The proverb means that a long but sure way, is better than a short but dangerous one.",Fair and softly goes far in a day.,Gbarra G. 1939,136,general,2025-10-27
GBARRA_0668,668,Ndikuraga na migiria,Literal translation: The ox does not become old with strong muscles.,The proverb means that man cannot expect to age and retain the vigour of his youth.,,Gbarra G. 1939,138,nature,2025-10-27
GBARRA_0679,679,Ndugira na kaigwa kayo,Literal translation: Every little hole of the ear has its little thorn.,The Kikuyu used to put little sticks or thorns in the pierced upper part of the ear.,Every sparrow to its ear of wheat.,Gbarra G. 1939,141,general,2025-10-27
GBARRA_0733,733,Ngware ikirara muti iguru ndiatigire thi kuri kwega,Literal translation: The francolin sleeps on a tree because it is not all right on the ground (and on a tree it feels safer).,,Everyone knows his business best.,Gbarra G. 1939,152,nature,2025-10-27
GBARRA_0738,738,Njamba ndiriagwo ni wira,Literal translation: A strong man is not overpowered by his task.,,He that endures is not overcome.,Gbarra G. 1939,153,work,2025-10-27
GBARRA_0756,756,"Nyamacucu, kanua ni koinagirwo ithigi","Literal translation: Woman, remember that the mouth is sometimes covered with a branch.",,A woman cannot keep a secret.,Gbarra G. 1939,157,life,2025-10-27
GBARRA_0761,761,Nyoko nditugaga,Literal translation: Beauty does no good.,,"Beauty may have fair leaves, yet bitter fruit.",Gbarra G. 1939,158,morality,2025-10-27
GBARRA_0778,778,Rigu ndutwaranagio,Literal translation: The food one takes as provision for one’s journey is not carried by another person.,,Take heed is a good read.,Gbarra G. 1939,161,family,2025-10-27
GBARRA_0787,787,Ritho riarira riariria iniuru,Literal translation: The watering eye makes the nose water.,,When the head aches all the body is the worse.,Gbarra G. 1939,163,nature,2025-10-27
GBARRA_0801,801,Ruhonge rwa muti rutithendukaga mundu,Literal translation: A tree branch cannot put forth a man.,,Nothing comes out of the sack but what was in it.,Gbarra G. 1939,166,nature,2025-10-27
GBARRA_0837,837,Thiga ni muruu: marara nja gutiri,Literal translation: ‘Thiga’ is circumcissed: there is no reward in passing the night in the courtyard.,"‘Thiga’ means a certain fellow. The proverb originates in one of the many customs relating to the Kikuyu ceremony of circumcission. On the eve of the circumcission day women and girls gather at the hut of the candidate and sing for a great part in the night; not gratuitously, but in the hope of getting food and beer from the candidates mother. But if when the rite is completed, she makes as an excuse that now the child is circumcissed and refuses to give them what they expect, they start singing the above strain, meaning: ‘Have no recourse to the idle pretext that your son is now circumcissed; but rather give us the reward to which we are entitled after a night’s singing and dancing’.",Eaten bread is soon forgotten.,Gbarra G. 1939,174,conflict,2025-10-27
GBARRA_0842,842,Thia ndithiragwo ni mihumu,Literal translation: The duiker cannot help panting.,,The leopard cannot change his spots.,Gbarra G. 1939,175,social,2025-10-27
GBARRA_0859,859,Thurania gukua na kuhona,"Literal translation: Choose between dying and living; i.e. between death and life, war and peace.",,,Gbarra G. 1939,178,life,2025-10-27
GBARRA_0862,862,Thutha wa arume nduoyagwo ruoya,Literal translation: Where men have passed there is not a single feather to pick up.,,,Gbarra G. 1939,179,morality,2025-10-27
GBARRA_0871,871,Tutu uri mwana ndunyitagia ngotho,Literal translation: The man who has a family does not adorn his family with finery.,,"Children are certain cares, but uncertain comforts.",Gbarra G. 1939,181,family,2025-10-27
GBARRA_0926,926,Urimi nduhinyaga,Literal translation: The tilling does not come to an end.,,,Gbarra G. 1939,193,work,2025-10-27
GBARRA_0969,969,Wa mwene uthuire thakame,Literal translation: One hates to see the blood of a thing that belongs to him.,The proverb means that one’s heart is affected by the pains of the persons and animals whom one loves.,"Whom we love best, them we want to be happy.",Gbarra G. 1939,202,conflict,2025-10-27
GBARRA_0984,984,Weru wa arume ndwagaga kununga,Literal translation: The open place where men used to stay cannot help stinking (because of the many quarrels and thefts which occur,therein).,,Gbarra G. 1939,205,conflict,2025-10-27
