proverb_id,kikuyu_text,expert_translation,expert_cultural_meaning,openai_literal,openai_proverb,openai_reasoning,openai_confidence,openai_time,cohere_literal,cohere_proverb,cohere_reasoning,cohere_confidence,cohere_time,nllb_literal,nllb_proverb,nllb_confidence,nllb_time,google_literal,google_proverb,google_time,timestamp
MW_011,Gitonga kigiragio iganjo gikaarima,The rich man cannot be prevented from cultivating the “iganjo”he wants.,Might is right.,The one who does not speak is the one who gets the food.,The squeaky wheel gets the grease.,"The Kikuyu proverb emphasizes the importance of communication and assertiveness in achieving one's needs or desires. It suggests that those who do not voice their needs may miss out on opportunities, similar to the English proverb which conveys that those who make their problems known are more likely to receive help or attention. Both proverbs highlight the necessity of being vocal in order to attain what one wants, reflecting a cultural understanding of the value of advocacy and self-advocacy.",0.9,4.183841943740845,A spear that is well-sharpened does not strike the target and return empty-handed,A well-prepared plan always succeeds.,"While a literal translation maintains the imagery of a spear and target, the English proverb captures the underlying meaning in a more culturally relatable way. In Kikuyu culture, the spear is a symbol of strength, preparation, and precision.  The act of sharpening a spear emphasizes the importance of preparation. Hitting the target represents success.  The proverb's message is that thorough preparation leads to achievement.",0.9,26.341979026794434,The rich are not allowed to go to the fields,The rich are not allowed to go to the fields,0.85,1.4148838520050049,Gitonga Kigiragio Iganjo Gikaarima,Gitonga Kigiragio Iganjo Gikaarima,1.4313890933990479,2025-10-10T02:01:59.472828
MW_012,Gitonga kiriaga munyuko.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,Relentless quest for wealth can often be meaningless.,The one who is wise is the one who is careful.,A wise person is cautious.,"The Kikuyu proverb emphasizes the importance of wisdom being linked to caution and carefulness in actions. In translating it, the focus is on the essence of wisdom as a guiding principle for behavior. The natural English equivalent captures this idea succinctly, reflecting the cultural understanding that wisdom involves being prudent and thoughtful in one's decisions.",0.9,5.496791124343872,A spear that does not pierce deeply.,A weak or ineffectual effort.,"The Kikuyu proverb 'Gitonga kiriaga munyuko' literally describes a spear that doesn't penetrate deeply when thrown. This imagery translates to a criticism of an action or effort that fails to have the intended impact or significance. In English, we often use the metaphor of a 'weak effort' or 'ineffectual action' to convey a similar meaning. The transformation from the literal to the idiomatic involves shifting from a cultural specific image (a spear) to a more universally understood metaphor (weakness).",0.9,3.8011739253997803,Wealth is a commodity.,Wealth is a commodity.,0.85,1.334831953048706,Gitonga Kiriaga Municipality.,Gitonga Kiriaga Municipality.,1.0825920104980469,2025-10-10T02:02:11.189504
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",Poverty and riches do not leave each other.,"When prosperity comes, do not use all of it.",To rise and to lead does not go without effort.,You can't achieve greatness without hard work.,"The Kikuyu proverb emphasizes the importance of effort and diligence in achieving success or leadership. The literal translation captures the essence of rising and leading, but the proverb translation conveys the broader cultural understanding that success requires hard work, which is a common theme in many cultures. The transformation focuses on the idea of 'greatness' as a relatable concept in English, making it more accessible while retaining the original meaning.",0.9,4.396570205688477,A person who is not contented with what he has will always be looking around with longing eyes.,Greed is never satisfied; it always wants more.,The Kikuyu proverb uses imagery of someone with 'longing eyes' (ititiga) suggesting a strong desire or greed.  The phrase 'not contented with what he has' captures the essence of greed. The literal translation maintains the structure but the proverb aims for a more natural English expression with a stronger idiomatic phrasing.  The cultural meaning revolves around the caution against excessive desire and the belief that contentment is a virtue.,0.9,3.592418909072876,The rich and the poor are not separate.,The rich and the poor are not separate.,0.85,1.437169075012207,"He snorted in tiganga. GJW G 59, ba 73) wm","He snorted in tiganga. GJW G 59, ba 73) wm",1.5200550556182861,2025-10-10T02:02:22.136908
MW_014,Gutiri kiega kiumaga heega.,"There is nothing that is of worth, that is obtained from the comfort corner.",Nothing of value is given on a silver platter.,There is no fence that does not have a gap.,Every situation has its flaws.,"The Kikuyu proverb emphasizes that nothing is perfect and every situation or person has shortcomings. The literal translation maintains the imagery of a fence, which symbolizes boundaries or protection, while the proverb translation captures the essence of imperfection in a more idiomatic way that resonates with English speakers. This transformation reflects a broader understanding of human experiences and the inevitability of flaws in life.",0.9,2.7405850887298584,Gutiri (To tie up) kiega (a pot) kiumaga (with a rope) heega (that is strong).,Secure your future with strong foundations.,"This Kikuyu proverb uses the imagery of tying a pot with a strong rope to convey the idea of securing one's future or plans. The pot represents one's life or future, and the strong rope symbolizes the actions or decisions that ensure stability and security. The literal translation maintains the structural and cultural elements, while the proverb translation captures the underlying message in a more accessible and idiomatic English expression.",0.9,3.643697738647461,The good will be rewarded.,The good will be rewarded.,0.85,1.280587911605835,Gutiri Kiega with fiber.,Gutiri Kiega with fiber.,1.3770432472229004,2025-10-10T02:02:31.180357
MW_015,"Gutiri mburi itangiracio, tiga inawathe.","Any goat can serve as brideswealth, unless it has a defect.",The value of a wife is very great and can only be symbolized by the best choice of the present given to the in-law.,"There is no goat that begins to bleat, without first having eaten.",You can't complain without having a reason.,"The Kikuyu proverb emphasizes the idea that one must have a basis or justification for their actions or complaints, much like a goat would not bleat unless it has been fed. The English equivalent captures the essence of needing a reason for expressing dissatisfaction, which aligns with the original cultural context of the Kikuyu saying. The transformation involves adapting the imagery of the goat to a more universally understood concept of complaint and justification.",0.9,3.2685720920562744,"Tie the rear leg, let it drink.","Don't hinder someone's progress, let them succeed.","This Kikuyu proverb uses the imagery of tying a goat's rear leg to restrict its movement while allowing it to drink water. The literal translation maintains this imagery. However, the proverb's cultural meaning emphasizes not impeding someone's success or progress, even if they are dependent on you in some way. It's about allowing others to thrive, even if it might benefit you to restrict them.",0.9,27.6096613407135,"If you do not know the beginning of the things, keep them.","If you do not know the beginning of the things, keep them.",0.85,1.548072338104248,"Gutiri mburi itangiracio, three inawathe.","Gutiri mburi itangiracio, three inawathe.",1.043642282485962,2025-10-10T02:03:04.651429
MW_016,Gutiri munini mukia.,No young person can be considered poor.,"“Do what you can, with what you have, where you are.” — Theodore Roosevelt",There is no small person who is not wise.,Even the smallest person can have great wisdom.,"The Kikuyu proverb emphasizes that wisdom is not determined by size or stature, suggesting that everyone, regardless of their perceived importance or position, can possess valuable insights. The English equivalent captures this essence by focusing on the idea that wisdom can come from unexpected sources, aligning with the cultural value of respecting all individuals. The transformation involves shifting from a direct translation to a more culturally resonant expression that conveys the same message in a way that is relatable to English speakers.",0.9,4.227519989013672,Cover the bird's head.,Don't count your chickens before they hatch.,"While a direct translation of 'Gutiri munini mukia' results in 'Cover the bird's head,' this doesn't convey the intended meaning in English. The Kikuyu proverb warns against assuming a positive outcome before it is certain, much like the English proverb 'Don't count your chickens before they hatch.' The act of covering a bird's head symbolizes premature celebration or assuming control over something still uncertain.",0.9,6.557820796966553,The size of the tail.,The size of the tail.,0.85,1.2820188999176025,Big guts in the way.,Big guts in the way.,1.395353078842163,2025-10-10T02:03:18.115193
MW_017,Gutiri uthuire tiga akiaga.,"A man is poor not because he scorns possessions, but because he possesses nothing.",Having nothing is a bitter reality.,There is no one who does not have a place to sleep.,Everyone has a place to call home.,"The Kikuyu proverb emphasizes the idea that everyone has a sense of belonging or a place where they can find comfort and security, which is a fundamental aspect of community and identity in Kikuyu culture. The English equivalent captures this sentiment of belonging and home, making it relatable to a broader audience. The transformation involves shifting from a literal interpretation of physical shelter to a more abstract understanding of emotional and social belonging.",0.9,3.5477609634399414,Gutiri (Act of covering) uthuire (a small pot/container) tiga (to protect from heat) akiaga (while it is still hot).,Cover the pot while it's still simmering.,"The Kikuyu proverb uses the imagery of covering a hot pot to convey the idea of taking action while something is still warm or relevant. In Kikuyu culture, covering a pot helps retain heat and prevents food from cooling down too quickly. This is transformed into the English proverb 'Cover the pot while it's still simmering', which maintains the idea of acting while something is still active or in progress, capturing the urgency and timeliness implied in the original Kikuyu proverb.",0.9,4.0365049839019775,The man was not able to get up and walk.,The man was not able to get up and walk.,0.85,1.3980610370635986,Guti Uthuire Tiga leaving.,Guti Uthuire Tiga leaving.,1.1810097694396973,2025-10-10T02:03:28.279560
MW_018,Guthiina ti kuriita,To be poor does not connote being foolish.,“People take different roads seeking fulfillment and happiness. Just because they're not on your road doesn't mean they've gotten lost. DalaiLama,To be a leader is not to be a fool,A wise leader knows when to listen,"The Kikuyu proverb emphasizes the importance of wisdom and discernment in leadership, suggesting that true leadership involves understanding and not merely exerting authority. The natural English equivalent captures the essence of being a wise leader who values listening over foolishness, aligning with the cultural significance of respect and wisdom in leadership roles.",0.9,2.8969180583953857,Guthiina ti kuriita: This translates literally as 'The pot is calling the kettle black'.,"The beam in your own eye: This English proverb captures the idea of hypocrisy, where someone criticizes others for a fault they themselves have.","The Kikuyu proverb uses the imagery of a pot (a cooking vessel) calling a kettle (another cooking vessel) black, which is a visual representation of hypocrisy. In the same way, the English proverb 'The beam in your own eye' highlights the hypocrisy of someone pointing out someone else's fault while ignoring their own similar flaw. Both proverbs serve as a reminder to consider one's own actions and faults before judging others.",0.9,3.7972800731658936,Fear is not a curse,Fear is not a curse,0.85,1.247054100036621,Gunininina to make it,Gunininina to make it,1.9124650955200195,2025-10-10T02:03:38.134291
MW_019,Guthinga kurugite gutonga.,Virtue is better than riches.,Virtue is the only true nobility.,To gather (or unite) the pieces (or parts) to lead (or guide).,Bringing together the pieces leads to success.,"The Kikuyu proverb emphasizes the importance of unity and collaboration in achieving goals. The literal translation captures the imagery of assembling parts, which can symbolize teamwork or collective effort. The proverb translation conveys the same idea in a more idiomatic way, highlighting that success often comes from working together and combining resources or talents. This transformation reflects a common cultural understanding that cooperation is key to overcoming challenges.",0.9,3.0637059211730957,Guthinga kurugite gutonga translates as: To think/plan before acting/moving.,Look before you leap.,"Both the Kikuyu proverb and its English equivalent emphasize the importance of careful consideration and planning before taking action. The Kikuyu phrase literally translates to 'thinking before moving,' which directly corresponds to the English idiom 'look before you leap.' This transformation maintains the core message while adapting the cultural and linguistic nuances.",0.9,3.1239171028137207,The rich are the poor.,The rich are the poor.,0.85,1.2263588905334473,Guthingi Kurugite Kutonga.,Guthingi Kurugite Kutonga.,1.0741572380065918,2025-10-10T02:03:46.623471
MW_020,Gutiri mbura itari gitonga kiayo.,There is no rain that does not bring wealth to someone.,Everyone has their chance in life.,There is no rain that does not come with its thunder.,Every blessing comes with its challenges.,"The Kikuyu proverb emphasizes that good things (like rain) often come with difficulties or warnings (like thunder). The transformation to the English equivalent captures the essence of this idea, suggesting that every positive outcome has its own set of challenges or consequences. This reflects a universal understanding of the balance between good and bad in life, making it relatable to an English-speaking audience.",0.9,3.165611982345581,Hold the rain as you would hold a heavy load.,Treat responsibilities with the same care and attention as you would something fragile and valuable.,"The Kikuyu proverb uses the imagery of holding rain, which is both heavy and valuable for agriculture, to convey the idea of carefully managing something important. In English, comparing responsibilities to a fragile valuable captures the same sense of needing to handle them with care and attention. The transformation from a literal holding of rain to the metaphor of handling responsibilities reflects the cultural importance of both rain (for agriculture) and responsible behavior in Kikuyu society.",0.9,4.432551860809326,Let it rain without its riches.,Let it rain without its riches.,0.85,1.315216064453125,Baku I miss it's not about it.,Baku I miss it's not about it.,1.3442952632904053,2025-10-10T02:03:56.882176
MW_021,Gutiri ngia itari muthenya wayo.,Every poor person has his day.,"No situation is permanent. ""That some achieve great success, is proof to all that others can achieve it as well."" Abraham Lincoln",There is no path that does not lead to your destination.,Every road leads somewhere.,"The Kikuyu proverb emphasizes the idea that all efforts or paths taken will eventually lead to a goal or outcome, even if the journey is not straightforward. The natural English equivalent captures this essence by suggesting that every choice or direction taken will yield results, aligning with the cultural understanding of perseverance and the inevitability of reaching one's destination. The transformation from a specific cultural context to a more general one allows for broader applicability in English.",0.9,2.8435587882995605,Gutiri (a type of bird) to depend on the hunter (muthenya) who is tired (wayo).,"Rely on the experienced expert, even when they are exhausted.","The Kikuyu proverb highlights the importance of seeking help or guidance from someone with expertise, even if they are currently facing difficulties or fatigue. The bird (gutiri) represents those seeking help, while the tired hunter (muthenya wayo) symbolizes the experienced expert who may be going through a challenging time. The proverb encourages us to value and utilize the knowledge and skills of experts, regardless of their current circumstances.",0.9,3.9416000843048096,The day of the game is not yet.,The day of the game is not yet.,0.85,1.3348262310028076,Gutija is not its own layer.,Gutija is not its own layer.,1.3442261219024658,2025-10-10T02:04:06.350387
MW_022,Gutiri uriragio ni utonga no ukia.,"Nobody grumbles at being rich, only at being poor.","“Seek not greater wealth, but simpler pleasure; not higher fortune, but deeper felicity.” ― Mahatma Gandhi",There is no one who does not have a burden and a cry.,Everyone has their own struggles and sorrows.,"The Kikuyu proverb emphasizes the universal experience of hardship and emotional pain, suggesting that everyone carries their own burdens, whether visible or not. The transformation into English captures the essence of shared human experience, making it relatable to a broader audience. The phrase 'burden and a cry' is metaphorically interpreted as 'struggles and sorrows' to convey the emotional weight people carry in life.",0.9,3.0383431911468506,To carry a load on your back is to see the world.,Shouldering responsibilities broadens your perspective.,"The Kikuyu proverb uses the imagery of carrying a load on one's back, a common experience in traditional Kikuyu society, to convey the idea of taking on responsibilities.  The 'seeing the world' part metaphorically refers to gaining knowledge and understanding through experience. The English translation maintains the core idea of responsibility leading to growth and wisdom while using a more universal metaphor.",0.9,3.3830182552337646,The people of the land were very proud of him.,The people of the land were very proud of him.,0.85,1.4261372089385986,Gutiri urragio of the brain.,Gutiri urragio of the brain.,1.5917692184448242,2025-10-10T02:04:15.790704
MW_023,Gwa gitonga gucokagirirwo ni mambura.,The home of a rich man is revisited during a ceremony (especially burial).,Show hospitality to one another without grumbling.,The one who is not careful is caught by the rain.,He who does not take precautions will face the consequences.,"The Kikuyu proverb emphasizes the importance of being cautious and prepared to avoid negative outcomes, using the imagery of rain as a metaphor for unforeseen challenges or troubles. The natural English equivalent captures the essence of the warning about the consequences of negligence, making it relatable to a broader audience. The transformation involves shifting from a specific cultural context (rain) to a more general concept of consequences, which maintains the original meaning while making it accessible in English.",0.9,3.4924840927124023,The one who shakes the beehive is the one who gets stung.,He who stirs up trouble will get into trouble.,"The Kikuyu proverb uses the imagery of a beehive, where shaking it leads to getting stung. This is metaphorically linked to causing trouble and subsequently facing the consequences. The English translation maintains the cause-and-effect structure while using a more universally understood metaphor of stirring up trouble.",0.9,3.0586819648742676,The rich are repaid by rain.,The rich are repaid by rain.,0.85,1.2848601341247559,A sheep gacoriter of gacoculs.,A sheep gacoriter of gacoculs.,1.7331910133361816,2025-10-10T02:04:25.361042
MW_024,Haro ni ya muka uri thiiri,Quarrelling is the hallmark of the woman who has debts.,"Debts cause unhappiness. “Debt can turn a free, happy person into a bitter human being.”-Michael Mihalik",The harvest is for the woman who has planted,You reap what you sow,"The Kikuyu proverb emphasizes the idea that the rewards or outcomes of one's efforts are directly tied to the actions taken, particularly highlighting the role of women in nurturing and cultivating. The English equivalent captures this essence by conveying the universal principle of cause and effect in one's endeavors, making it relatable across cultures. The transformation involves shifting from a specific cultural context to a broader, more widely understood idiom.",0.9,4.132529258728027,The cow that calved early gave birth to a heifer,"The early bird catches the worm / He who risks, wins","The Kikuyu proverb 'Haro ni ya muka uri thiiri' highlights the advantage of taking action early, comparing it to a cow that calves early and gives birth to a strong, healthy heifer. This is similar to the English proverbs 'The early bird catches the worm' and 'He who risks, wins', which both emphasize the benefits of being proactive and taking timely action. The cultural transformation involves translating agricultural imagery specific to Kikuyu culture into more universally understood idioms.",0.9,3.696550130844116,Haro is a woman who is a witch,Haro is a woman who is a witch,0.85,1.3925321102142334,Haro is the wolf that the term,Haro is the wolf that the term,2.1914360523223877,2025-10-10T02:04:36.775122
MW_025,Hinya nduri indo,Strength has no wealth.,"“Strive not to be a success, but rather to be of value.” Albert Einstein",A bird does not forget its nest,Home is where the heart is,"The Kikuyu proverb emphasizes the importance of one's origins and the emotional connection to home, similar to how the English proverb conveys the idea that one's true belonging and comfort lies in their home. Both expressions reflect the deep-rooted cultural significance of home and belonging, though they use different imagery to convey this sentiment.",0.9,1.9275929927825928,Hinya nduri indo: This literally translates to 'A pot that has no bottom'.,A project with no end in sight; A bottomless task.,"The Kikuyu proverb 'Hinya nduri indo' uses the imagery of a pot without a bottom to convey the idea of something that never ends or a task that is never completed. In Kikuyu culture, a pot is a common household item used for cooking and storage, and its bottom is essential for stability and functionality. A pot without a bottom is useless, just as a task or project that never concludes is unproductive and frustrating. The English translations aim to capture this sense of endlessness and futility.",0.9,4.179924964904785,Power is not a thing,Power is not a thing,0.85,1.1676969528198242,Hitya a lot of the ice,Hitya a lot of the ice,2.181145191192627,2025-10-10T02:04:46.232567
