proverb_id,kikuyu_text,expert_translation,ograg_translation,bleu_score
MW_047,Muhakana na ciake itimuuragira. .,He who stands close to his property does not lose it.,One who quarrels with his own does not prosper.,8.64
MW_048,Muici ndathiragwo ni mari hindi.,The thief cannot keep fit because his stools contain undigested food.,A poor man's plea is his wealth.,3.98
MW_049,Muici uri hunyu arindagira uri maguta.,"An ugly thief is more likely to be caught than one smeared with fat, i.e. carefully dressed.",The one who is in the forest does not laugh at the one who is lost.,2.24
MW_050,Muici utari munyiite ni muria gake.,A thief who has not been caught is like a proprietor who has just spent his own money.,A silent trader sells his own merchandise.,3.32
MW_051,Mukoobi thiiri ndendete kuriha. .,He who borrows does not like repaying.,A persistent pauper cannot be denied a gift.,4.77
MW_052,Mundu-muka ndatumagwo thiriini.,A woman is not sent to fetch debts.,A woman is not sold for thirty goats.,31.56
MW_053,"Muriio wa njoohi niuriukagwo, no wa indo nduriukagwo. . (GJW M 341, Ba","The drunkenness of beer passes away, but that of wealth does not.","The poverty of a drunkard is seen, but the poverty of the wealthy is hidden.",6.02
MW_054,"Muthiini niathinukaga, no munyamaari ndathiinukaga.","A poor man can overcome poverty, but a man poor at heart can never.","A poor man's goat gives birth, but a rich man's goat multiplies.",12.06
MW_055,Muthinio ni kuona akiriite muthinio ni waagi.,He who is troubled by wealth surpasses the one troubled by poverty.,True wealth is seeing what you have; true poverty is lacking vision.,4.02
MW_056,Mutongi ndathethukaga. .,Whoever would like to be rich must have patience.,The guest does not host himself.,4.28
MW_057,Mutongi ndathethukaga. .,Whoever would like to be rich must have patience.,The guest does not overstay.,4.17
MW_058,Mwana ni indo.,A child bears prosperity.,A child is wealth.,23.64
MW_059,Mwana wa kahii ti wa kairiitu.,"A male child, is not a female child.",The child of a poor man is not the child of a rich man.,6.92
MW_060,Mwanake wi na indo ndoihanaga.,"The youth who has enough to buy his girl, need not beseech her.",A man who has wealth does not go unnoticed.,6.05
MW_061,Mwendia niaguraga.,The one who sells also buys.,"The one who loves, shares.",26.27
MW_062,Muthuuri athikagwo na indo.,An old man is buried with his wealth.,A wanderer is not burdened by wealth.,10.79
MW_063,Ndonga imwe ndihingaga iriuko.,A rich man cannot block the ford.,One finger cannot kill a louse.,6.77
MW_064,Ndonga naanu irugiitwo ni mukari.,"An arrogant rich man, is surpassed by a miser.",A borrowed knife is returned by the handle.,5.02
MW_065,Ndugu nyingi ithaatagia muhuko.,Many acquaintances deplete the pocket.,Many siblings do not lack a helper.,6.57
MW_066,Ngai ndoonagio nda.,God is not shown one’s belly.,God does not despise the poor.,8.64
MW_067,Ngia itari thiiri ti ngia.,A poor person with no debts is not so poor a person.,A cow without a calf is not a cow.,7.82
MW_069,"Riua ritiri gitonga no ngia theri. (Riua ritiui gitonga no ngia their) (GJW R 23,Ba","The sun has no rich people, but only the poor people.",A river does not flow with wealth for the poor.,6.92
MW_070,Ruthuuro rutiiyuragia ikumbi,Selected goods do not fill the granary.,Borrowed seeds do not fill the granary.,68.04
MW_071,Ruua rukuhi rutiri thogora.,A short hide is of no value.,A borrowed hoe does not cultivate the homestead.,5.67
MW_073,Thiina nduri miri .,Poverty has no roots.,The journey is longer when walked alone.,5.52
MW_074,Thiiri utarihwo no wa urogi.,The only debt which is not payable is the one of poisoning someone.,A river is not cursed by those who drink from it.,6.34
MW_075,Thogora nduri mwana na nyina.,"In business bargain, there is no child or mother.",A child is a garment that adorns both the mother and the father.,4.02
MW_076,Thogora ni mururumo utaruo.,Buying and selling causes much noice but no strife.,A whisper is a roar to the attentive.,4.27
MW_077,Thogora ni maitho.,Buying and selling involves the eyes.,Wisdom is in the eyes.,25.58
MW_078,Thogora uuragagwo ni kiongereri.,A bargain breaks down over the extra demand.,The axe that fells the tree was sharpened by the whetstone.,4.03
MW_079,Tiga kwihira uriri wi riikoini. GJW T 85) MW,When you are poor do not equate yourself with the rich.,Don't rush to count your harvest while it's still in the fields.,3.67
MW_080,Uhunii eetaga uhutii mukoroku. .,"He who is satisfied, calls the hungry one greedy.",The one who desires honey must brave the bee sting.,5.3
MW_081,Ukari muhithe ndumenanagirwo. MW,Hidden miserliness does not attract scorn.,The wealth of a miser is never celebrated.,4.77
MW_082,"Urugari nduri indo, ni heho iri indo.","Warmth has no wealth, it is the cold that has.",A borrowed cloak does not provide the warmth of one's own.,4.03
MW_083,Urume uri iraria.(Urume wi indo),Bravery brings wealth.,A borrower is a slave to the lender.,4.77
MW_084,Utaana uminagira murokerwo ng’ombe.,Generosity ruins the man who gives his cows to morning visitors.,He who despises the small will lose the large.,4.52
MW_085,Utari ndari ngoro (Githumbi/ githumba gitiri ngoro),He who has nothing has no heart.,A house without a heart is not a home.,4.99
MW_086,Utari ndeetagwo ndundu. .,A poor man is not invited to a private discussion.,No one is burdened beyond their capacity.,4.51
MW_087,Utari ni wa kwa mari. (Muthiini egiritagia itonga) .,"A poor man leans on the rich. Kiswahili : Maskini hutegemea matajiri. Meaning: Each person needs another, regardless of status. Teaching: This proverb teaches that within a family or community, people cannot be equal. Some are poor and others rich. But they need each other for daily objectives to be achieved. Bible parallel: 1 Thessalonians 5:11 “Therefore encourage one another and build each other up, just as in fact you are doing.”",He who lacks is not of the wealthy. (A poor man does not despise wealth).,0.25
MW_088,Uthaka nduriagwo.,Beauty is not consumed.,Poverty is not chosen.,23.64
MW_089,Uthaka wa mundurume ni mbeeca. M,The beauty of a man is money.,A man's wealth is his character.,6.77
MW_090,Uthuri wa gitonga ndunungaga.,A rich man’s breaking of wind is odourless.,The path to wealth is not for the faint-hearted.,4.99
MW_091,Utonga nduhanyukagiruo.,Riches are not rushed for.,Wealth is not stumbled upon.,9.65
MW_092,Utonga nduri nyoni.,Riches have no bird of ill will.,Wealth is a bird that flies away.,6.57
MW_093,Utonga ni kiiruru.,Riches are but a shadow.,Wealth is a whisper.,10.4
MW_094,Utonga ni wa ngai.,Wealth belongs to God.,Wealth is a gift from God.,14.54
MW_095,Utonga wa muthiini ni ciana. W,The wealth of the poor consists in having children.,The wealth of the impoverished lies in their offspring.,29.07
MW_096,"Utonga wa muici nduthuunaga, na ni uteeaga wake.","Unlawful riches do not prosper, they ruin even the legitimate ones.","The wealth of a silent man grows, and it is his silence that nurtures it.",2.72
MW_097,Waariire aanyamaririe weigiire.,"He who ate (spent all his resources) persecuted the one who kept some aside. 98.Wagi ndumenanagirwo (GJW W 18, N 641) W English: Poverty does not cause enemity. 99.Waagi wi gitaranio. (KW vol.1 pg 348) W English: Lacking leads to dreamy thoughts of what the opposite would bring. 100.Wooni wi njaci. (Ba 991, KW vol.1 pg 321) MW English: The state of having acquired wealth, breeds contemptuous pride. A COLLECTION OF 100 PROVERBS AND WISE SAYINGS OF THE GIKUYU OF KENYA ABOUT MONEY AND WEALTH",Those who have tasted wealth will not settle for less.,0.0
MW_098,Wagi ndumenanagirwo.,Poverty does not cause enemity.,Borrowed clothes do not keep one warm.,6.57
MW_099,Waagi wi gitaranio.,Lacking leads to dreamy thoughts of what the opposite would bring.,Borrowed feathers do not make a peacock.,3.35
MW_100,"Wooni wi njaci. (woni wi njaci, wagi gitaranjo)","The state of having acquired wealth, breeds contemptuous pride.",The eyes of the poor are not blind.,5.02
