proverb_id,kikuyu_text,system,translation,expert_translation,cultural_authenticity,semantic_similarity,context_preservation,translation_fidelity,rouge1_f,rouge2_f,rougeL_f,word_overlap,structural_similarity,overall_quality,quality_grade,recommendations,evaluation_timestamp,error
MW_004,Bururi uri ngui ndungiciarikira indo.,OG-RAG,"In a land of turmoil, wealth finds no root.",In an unstable country one cannot become wealthy.,0.696144962310791,0.6153624057769775,1.0,0.39632257557852263,0.11764705882352941,0.0,0.11764705882352941,0.0625,0.10526315789473684,0.41717088637679933,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:53.971107,
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,Raw GPT-4,"The things that are ignored while still alive, are mourned when they are gone.",The property of an invalid are not distributed while the person is still alive.,0.5648520827293396,0.287130206823349,1.0,0.3937267083408271,0.35714285714285715,0.07692307692307693,0.35714285714285715,0.19047619047619047,0.2727272727272727,0.3637451810110253,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.169184,
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,Traditional RAG,The things that cannot be changed are still alive/they exist.,The property of an invalid are not distributed while the person is still alive.,0.6077714323997498,0.3944285809993744,1.0,0.3801823119694314,0.32,0.08695652173913043,0.32,0.15,0.23809523809523808,0.37617238214920096,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.244062,
MW_005,Cia kionje itigayagwo kiri muoyo/gitanakua.,OG-RAG,The belongings of the weak are not divided while they still breathe.,The property of an invalid are not distributed while the person is still alive.,0.5538461089134217,0.2596152722835541,1.0,0.4222059899976501,0.5384615384615384,0.08333333333333334,0.4615384615384615,0.3333333333333333,0.3684210526315789,0.3693105400645462,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.413029,
MW_006,Cia thuguri itiyuragia ikumbi,Raw GPT-4,The ways of a thief are not a secret to the marketplace.,Bought things do not fill the granary.,0.5376730918884278,0.21918272972106934,1.0,0.269881248635457,0.2105263157894737,0.0,0.2105263157894737,0.13333333333333333,0.1875,0.3095276737777811,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.516014,
MW_006,Cia thuguri itiyuragia ikumbi,Traditional RAG,The fruits of hard work are sweet.,Bought things do not fill the granary.,0.5112450599670411,0.15311264991760254,1.0,0.2493384153254119,0.14285714285714285,0.0,0.14285714285714285,0.07692307692307693,0.14285714285714285,0.2917664693507106,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.605062,
MW_006,Cia thuguri itiyuragia ikumbi,OG-RAG,Purchased goods do not fill the barn.,Bought things do not fill the granary.,0.6990891933441162,0.6227229833602905,1.0,0.6123173640667374,0.5714285714285714,0.5,0.5714285714285714,0.4,0.45454545454545453,0.4939467547610046,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.694651,
MW_007,Ciira muingi/munene ni ukia.,Raw GPT-4,Many hands make light work.,A long lawsuit brings poverty.,0.46456644386053086,0.03641610965132713,1.0,0.1568365474688736,0.0,0.0,0.0,0.0,0.09090909090909091,0.24071936915831812,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.776317,
MW_007,Ciira muingi/munene ni ukia.,Traditional RAG,Many hands make light work.,A long lawsuit brings poverty.,0.46456644386053086,0.03641610965132713,1.0,0.1568365474688736,0.0,0.0,0.0,0.0,0.09090909090909091,0.24071936915831812,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.837757,
MW_007,Ciira muingi/munene ni ukia.,OG-RAG,A drawn-out dispute drains one's wealth.,A long lawsuit brings poverty.,0.648776364326477,0.4969409108161926,1.0,0.3565575239138726,0.15384615384615385,0.0,0.15384615384615385,0.1,0.16666666666666666,0.3843056791004462,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.917317,
MW_008,Ciringi imurikagwo na ingi.,Raw GPT-4,One finger cannot kill a louse.,"To get money, you have to spend money.",0.45535052120685576,0.013376303017139435,1.0,0.13371679377529702,0.0,0.0,0.0,0.0,0.06666666666666667,0.22894108630409626,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:54.982089,
MW_008,Ciringi imurikagwo na ingi.,Traditional RAG,A small hole is enlarged by much digging.,"To get money, you have to spend money.",0.4665168195962906,0.04129204899072647,1.0,0.15972660739065672,0.0,0.0,0.0,0.0,0.0625,0.2425110404252461,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.048608,
MW_008,Ciringi imurikagwo na ingi.,OG-RAG,"To make money, you must spend money.","To get money, you have to spend money.",0.7731031656265259,0.8077579140663147,1.0,0.7348205330811048,0.6666666666666666,0.30769230769230765,0.6666666666666666,0.5555555555555556,0.6,0.5664284528289971,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.115558,
MW_009,Gicigo kia mugunda gitinyihaga.,Raw GPT-4,The fence of a homestead is made from the thorns.,A piece of land is not a little thing.,0.5255410730838777,0.1888526827096939,1.0,0.29386607231753,0.3157894736842105,0.0,0.2105263157894737,0.21428571428571427,0.26666666666666666,0.31306955454468655,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.200230,
MW_009,Gicigo kia mugunda gitinyihaga.,Traditional RAG,The fence of a farm is repaired.,A piece of land is not a little thing.,0.5038102984428405,0.13452574610710144,1.0,0.30416903138040047,0.375,0.0,0.25,0.25,0.3076923076923077,0.3079832803602764,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.290495,
MW_009,Gicigo kia mugunda gitinyihaga.,OG-RAG,No plot of land is ever too small.,A piece of land is not a little thing.,0.7162210702896119,0.6655526757240295,1.0,0.51857607012366,0.35294117647058826,0.26666666666666666,0.35294117647058826,0.23076923076923078,0.2857142857142857,0.4679900526591258,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.358556,
MW_010,Githaka ni ngwatira.,Raw GPT-4,A farm is a source of wealth.,Land is inalienable (from the clan).,0.5609818696975708,0.277454674243927,1.0,0.28432608570232415,0.15384615384615383,0.0,0.15384615384615383,0.09090909090909091,0.14285714285714285,0.3239068778748418,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.494585,
MW_010,Githaka ni ngwatira.,Traditional RAG,The farm is the source of wealth.,Land is inalienable (from the clan).,0.5642112493515015,0.28552812337875366,1.0,0.3674348431825638,0.30769230769230765,0.0,0.30769230769230765,0.2,0.23076923076923078,0.35428669485449793,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.562790,
MW_010,Githaka ni ngwatira.,OG-RAG,Land is the clan's heart.,Land is inalienable (from the clan).,0.7765260696411133,0.7538151741027832,1.0,0.6363731897238528,0.6666666666666666,0.4000000000000001,0.6666666666666666,0.375,0.45454545454545453,0.5333410442597938,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.628660,
MW_011,Gitonga kigiragio iganjo gikaarima,Raw GPT-4,Wealth that comes suddenly disappears suddenly.,The rich man cannot be prevented from cultivating the “iganjo”he wants.,0.5682679653167725,0.29566991329193115,1.0,0.2077802443000632,0.0,0.0,0.0,0.0,0.05,0.3000302716317311,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.760197,
MW_011,Gitonga kigiragio iganjo gikaarima,Traditional RAG,A rich man does not dance on his own farm.,The rich man cannot be prevented from cultivating the “iganjo”he wants.,0.6279858946800232,0.444964736700058,1.0,0.32477308251424775,0.1818181818181818,0.09999999999999999,0.1818181818181818,0.1111111111111111,0.18181818181818182,0.364864936751996,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.825558,
MW_011,Gitonga kigiragio iganjo gikaarima,OG-RAG,"Wealth is like a garden, it must be tended.",The rich man cannot be prevented from cultivating the “iganjo”he wants.,0.5920222520828247,0.35505563020706177,1.0,0.2555907314711973,0.09523809523809525,0.0,0.09523809523809525,0.05555555555555555,0.08333333333333333,0.3262656568480489,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.892985,
MW_012,Gitonga kiriaga munyuko.,Raw GPT-4,Wealth announces itself in the morning.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,0.5042067110538483,0.13551677763462067,1.0,0.1231201616737079,0.0,0.0,0.0,0.0,0.043478260869565216,0.2447747410073371,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:55.976881,
MW_012,Gitonga kiriaga munyuko.,Traditional RAG,Wealth attracts friends.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,0.5385926365852356,0.221481591463089,1.0,0.1264209960364714,0.0,0.0,0.0,0.0,0.05,0.2596844032468592,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.045769,
MW_012,Gitonga kiriaga munyuko.,OG-RAG,Wealth whispers to its owner.,A wealthy man eats only a dying goat (very thin with tough meat)/undesirable food.,0.5525938272476196,0.2564845681190491,1.0,0.1473638338749266,0.0,0.0,0.0,0.0,0.045454545454545456,0.2726148727552722,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.127251,
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",Raw GPT-4,Ruling and leading do not go hand in hand.,Poverty and riches do not leave each other.,0.5392389893531799,0.22309747338294983,1.0,0.37354532342294194,0.35294117647058826,0.13333333333333333,0.35294117647058826,0.21428571428571427,0.2857142857142857,0.34643645893930164,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.211586,
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",Traditional RAG,Ruling and leading cannot be hidden.,Poverty and riches do not leave each other.,0.5209501922130585,0.17737548053264618,1.0,0.25634413221658203,0.14285714285714288,0.0,0.14285714285714288,0.07692307692307693,0.21428571428571427,0.29810052316102714,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.277928,
MW_013,"Gukiaga na gutonga ititiganaga. GJW G 59, Ba 73) WM",OG-RAG,Growing in age and wealth are not simultaneous.,Poverty and riches do not leave each other.,0.7079978466033936,0.6449946165084839,1.0,0.4669107297597323,0.25,0.0,0.25,0.14285714285714285,0.2,0.4466178940572637,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.344166,
MW_014,Gutiri kiega kiumaga heega.,Raw GPT-4,There is no festival that passes without leaving a mark.,"There is nothing that is of worth, that is obtained from the comfort corner.",0.5521385312080384,0.2553463280200958,1.0,0.30739753059650726,0.25,0.09090909090909093,0.25,0.16666666666666666,0.2,0.32844454819199287,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.416002,
MW_014,Gutiri kiega kiumaga heega.,Traditional RAG,There is no easy path to a good harvest.,"There is nothing that is of worth, that is obtained from the comfort corner.",0.5609948039054871,0.27748700976371765,1.0,0.25121274937458565,0.17391304347826086,0.09523809523809525,0.17391304347826086,0.1111111111111111,0.15,0.3123223838432998,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.484271,
MW_014,Gutiri kiega kiumaga heega.,OG-RAG,There is no wisdom in hoarding wealth.,"There is nothing that is of worth, that is obtained from the comfort corner.",0.6290271997451782,0.44756799936294556,1.0,0.3146845140627452,0.19047619047619047,0.10526315789473684,0.19047619047619047,0.125,0.16666666666666666,0.3617504598200321,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.549907,
MW_015,"Gutiri mburi itangiracio, tiga inawathe.",Raw GPT-4,There is no sheep that starts grazing and gets full immediately.,"Any goat can serve as brideswealth, unless it has a defect.",0.5794072270393371,0.3235180675983429,1.0,0.25567924032608663,0.0,0.0,0.0,0.0,0.041666666666666664,0.32125062492986517,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.680325,
MW_015,"Gutiri mburi itangiracio, tiga inawathe.",Traditional RAG,"There is no goat that starts a fight, it does not know if it will survive.","Any goat can serve as brideswealth, unless it has a defect.",0.6848914861679077,0.5442599654197693,1.0,0.3866878369198552,0.2222222222222222,0.0,0.14814814814814814,0.13043478260869565,0.2,0.4092973373891124,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.756861,
MW_015,"Gutiri mburi itangiracio, tiga inawathe.",OG-RAG,"There is no goat that begins by giving birth to twins, don't be in a rush.","Any goat can serve as brideswealth, unless it has a defect.",0.701528310775757,0.5858520269393921,1.0,0.3866428040233818,0.14285714285714285,0.0,0.14285714285714285,0.08,0.14285714285714285,0.4159363057184864,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.842774,
MW_016,Gutiri munini mukia.,Raw GPT-4,There is no great morning.,No young person can be considered poor.,0.5143153309822083,0.16078832745552063,1.0,0.22824561157912918,0.16666666666666666,0.0,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.2856120964455785,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.904798,
MW_016,Gutiri munini mukia.,Traditional RAG,There is no great morning.,No young person can be considered poor.,0.5143153309822083,0.16078832745552063,1.0,0.22824561157912918,0.16666666666666666,0.0,0.16666666666666666,0.09090909090909091,0.16666666666666666,0.2856120964455785,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:56.965119,
MW_016,Gutiri munini mukia.,OG-RAG,There's no great dawn without its own darkness.,No young person can be considered poor.,0.5279509961605072,0.194877490401268,1.0,0.24713949246111247,0.125,0.0,0.125,0.07142857142857142,0.125,0.2976792208255923,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.030455,
MW_017,Gutiri uthuire tiga akiaga.,Raw GPT-4,There is no sleep without a dream.,"A man is poor not because he scorns possessions, but because he possesses nothing.",0.5429303824901581,0.2323259562253952,1.0,0.20075526294737156,0.19047619047619047,0.0,0.09523809523809523,0.11764705882352941,0.15789473684210525,0.2874364950276433,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.109524,
MW_017,Gutiri uthuire tiga akiaga.,Traditional RAG,There is no smoke without a fire.,"A man is poor not because he scorns possessions, but because he possesses nothing.",0.5267462968826294,0.1918657422065735,1.0,0.18476491974810103,0.19047619047619047,0.0,0.09523809523809523,0.11764705882352941,0.15789473684210525,0.27536624066488713,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.174333,
MW_017,Gutiri uthuire tiga akiaga.,OG-RAG,There's no wealth without toil.,"A man is poor not because he scorns possessions, but because he possesses nothing.",0.6857314109802246,0.5893285274505615,1.0,0.2679723016808673,0.0,0.0,0.0,0.0,0.05,0.3680828699803934,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.243185,
MW_018,Guthiina ti kuriita,Raw GPT-4,Being silent is not cowardice.,To be poor does not connote being foolish.,0.5638288021087647,0.2845720052719116,1.0,0.3359388631838304,0.3076923076923077,0.0,0.3076923076923077,0.18181818181818182,0.25,0.34311012295784654,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.350580,
MW_018,Guthiina ti kuriita,Traditional RAG,Staying is not being rich.,To be poor does not connote being foolish.,0.6507072687149048,0.501768171787262,1.0,0.39767180717848877,0.3076923076923077,0.0,0.3076923076923077,0.18181818181818182,0.25,0.399468039998433,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.410433,
MW_018,Guthiina ti kuriita,OG-RAG,Planting is not the same as harvesting.,To be poor does not connote being foolish.,0.570178782939911,0.3004469573497772,1.0,0.3018231017390887,0.13333333333333333,0.0,0.13333333333333333,0.07142857142857142,0.13333333333333333,0.33370959878464546,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.472865,
MW_019,Guthinga kurugite gutonga.,Raw GPT-4,Planting is more difficult than governing.,Virtue is better than riches.,0.5178717970848083,0.16967949271202087,1.0,0.3172016752630601,0.3636363636363636,0.0,0.3636363636363636,0.2222222222222222,0.3,0.3181693051759944,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.546870,
MW_019,Guthinga kurugite gutonga.,Traditional RAG,Planting is not as hard as governing.,Virtue is better than riches.,0.5248498916625977,0.18712472915649414,1.0,0.2579097076208254,0.16666666666666666,0.0,0.16666666666666666,0.1,0.18181818181818182,0.30020835433232795,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.675552,
MW_019,Guthinga kurugite gutonga.,OG-RAG,To sow is to know wealth.,Virtue is better than riches.,0.6252476692199707,0.43811917304992676,1.0,0.36477326751627265,0.1818181818181818,0.0,0.1818181818181818,0.1111111111111111,0.2,0.3777697113186837,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.735369,
MW_020,Gutiri mbura itari gitonga kiayo.,Raw GPT-4,There is no rain without its own blessings.,There is no rain that does not bring wealth to someone.,0.7761795520782472,0.7529488801956177,1.0,0.5573179932359303,0.4210526315789474,0.3529411764705882,0.4210526315789474,0.26666666666666666,0.3125,0.5055331184638745,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.809362,
MW_020,Gutiri mbura itari gitonga kiayo.,Traditional RAG,There is no rain that doesn't benefit something.,There is no rain that does not bring wealth to someone.,0.7867979526519776,0.7794948816299438,1.0,0.6289703947176665,0.5,0.4444444444444445,0.5,0.35714285714285715,0.4666666666666667,0.5348588192119743,F,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.875111,
MW_020,Gutiri mbura itari gitonga kiayo.,OG-RAG,There is no rain that doesn't bring its own wealth.,There is no rain that does not bring wealth to someone.,0.8551163911819458,0.9502909779548645,1.0,0.7507836604660207,0.6363636363636364,0.4000000000000001,0.6363636363636364,0.4,0.6,0.6048208376358857,D,Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:57.939950,
MW_021,Gutiri ngia itari muthenya wayo.,Raw GPT-4,There is no beast without its day.,Every poor person has his day.,0.5874533534049988,0.34363338351249695,1.0,0.31897077925199835,0.15384615384615383,0.0,0.15384615384615383,0.08333333333333333,0.15384615384615385,0.34662111410019897,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:58.005576,
MW_021,Gutiri ngia itari muthenya wayo.,Traditional RAG,There is no beast without its day.,Every poor person has his day.,0.5874533534049988,0.34363338351249695,1.0,0.31897077925199835,0.15384615384615383,0.0,0.15384615384615383,0.08333333333333333,0.15384615384615385,0.34662111410019897,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:58.067347,
MW_021,Gutiri ngia itari muthenya wayo.,OG-RAG,There is no beast without its own hunting time.,Every poor person has his day.,0.4936463564634323,0.10911589115858078,1.0,0.1401852427565671,0.0,0.0,0.0,0.0,0.0625,0.24652337755017142,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:58.130918,
MW_022,Gutiri uriragio ni utonga no ukia.,Raw GPT-4,There is no poverty where there is hard work and perseverance.,"Nobody grumbles at being rich, only at being poor.",0.6516974687576294,0.5042436718940735,1.0,0.30300858265396513,0.0,0.0,0.0,0.0,0.05555555555555555,0.3667319914319395,F,Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:58.211401,
MW_022,Gutiri uriragio ni utonga no ukia.,Traditional RAG,There is no darkness that can prevent wealth and wisdom.,"Nobody grumbles at being rich, only at being poor.",0.5779177188873291,0.31979429721832275,1.0,0.2511197333497212,0.0,0.0,0.0,0.0,0.05263157894736842,0.3190589942273341,F,Low cultural authenticity - review cultural concept preservation; Low translation fidelity - significant deviation from expert translation; Cultural concepts not well preserved - check metaphor/idiom handling,2025-11-14T16:52:58.279091,
