proverb_id,kikuyu_text,expert_translation,raw_translation,raw_bleu,trad_rag_translation,trad_rag_bleu,ograg_translation,ograg_bleu
MW_025,Hinya nduri indo,Strength has no wealth.,Strength is better than wealth.,17.97,Strength is not wealth.,23.64,Strength is not wealth.,23.64
MW_026,Indo ciene inoragia mundu itina rimwe. W,Other people’s property fattens only one buttock.,"A good thing sells itself, a bad one advertises itself.",4.03,Wealth that comes quickly disappears quickly.,5.69,"Wealth that is shared enriches the community, not just one person.",3.67
MW_027,Indo ciene iri mutino.,Stolen goods bring misfortune.,A good thing sells itself.,8.12,Wealth in the morning is poverty in the evening.,4.2,Wealth in the morning is poverty by evening.,4.77
MW_029,Indo ni kurimithanio,Wealth comes by cultivating together.,Beauty is to be admired.,8.12,Wealth is a comparison.,10.4,Wealth is a result of hard work.,6.57
MW_030,Indo ni mwene.,Wealth is all about the owner.,The house belongs to its owner.,13.13,Wealth belongs to the owner.,27.48,Wealth belongs to its owner.,15.21
MW_031,Iroobagia ha muoni.,They (vultures) haunt the yard of a wealthy man.,He who is carried does not realize how far the journey is.,3.67,"They are shown the river, they do not drink.",4.5,The one who is always asking does not go unnoticed.,3.42
MW_032,Itonga igiri itiri nyoni.,Two rich persons do not wish each other a bird of ill omen.,Two bulls cannot fight in the same pen.,3.25,Two thrones do not accommodate a bird.,8.17,Two riches do not make a song.,6.56
MW_033,Kahora kari indo.,Steadiness makes wealth.,Every market has its own customers.,6.57,Every place has its wealth.,16.23,Every homestead has its own wealth.,13.13
MW_034,Kigina gitiinikagwo irio hande itari nguru.,The seed-storing calabash should never be drained before the new crop has matured.,A small tree that has been given plenty of food does not fear the cold.,3.22,A small pot is not cooked with a lot of food without firewood.,2.84,A tree that doesn't bear fruit cannot provide a wholesome meal.,2.87
MW_035,Kihoto ni indo.,A fair argument is wealth.,The pot is the source of food.,6.57,A dream is wealth.,34.98,The home is the source of wealth.,12.22
MW_036,Kirema mbeeca ni kigariure. .,That which is beyond the power of money must be manipulated.,A persistent problem is self-invited.,3.55,A bad dancer blames the floor.,3.82,A borrowed cloak does not provide lasting warmth.,3.42
MW_037,Kumaatha gutiri hinya ta kuramata.,To acquire wealth is not as difficult as good stewardship.,Eating does not require strength like working does.,4.54,Knowing is not as powerful as doing.,16.05,To possess is not as powerful as to acquire.,17.47
MW_038,Kumaatha gutiri hinya ta kuramata.,To acquire wealth is not as difficult as good stewardship.,Eating does not give strength like working does.,4.54,Knowing is not as powerful as acting.,16.05,To consume without labor is not as satisfying as to consume from labor.,12.57
MW_039,Kuri mwoni na muraata thi.,There is one who finds wealth and one who merely mends the surface of its cracks.,It's better to see than to be told.,1.96,There is peace and satisfaction in the home.,4.93,Even the poor man has his day in the sun.,2.58
MW_040,Kuria thiiri wene ni kuriha.,The way of eating a debt is paying it.,The one who prepares the food does not serve it.,8.3,Seeing is different from owning.,4.96,To eat alone is to choke.,5.09
MW_041,Mbari ya uri moigaga matikaaga.,The family of the haves often say that they will never lack.,The family that is in harmony will prosper.,7.69,A family that is united does not fall.,4.02,A family that is united will prosper.,4.18
MW_042,Mbeeca itiri mwana kana nyina.,With money there is no child or mother.,A goat does not bear a child without its mother.,8.3,"Wealth does not bear a child, nor a mother.",8.3,"Poverty doesn't spare the child, nor the mother.",9.29
MW_043,Mucii uri mburi ndwagaga kihuno.,A homestead with goats does not lack miscarriages.,Home is where the heart feels most at ease.,4.2,A home with many goats is always noisy.,6.74,A home with goats does not lack a cooking pot.,38.16
MW_044,Mugunda ni mugema wa mwene. W,A farm is the ornament of the owner.,The owner best knows where the shoe pinches.,6.27,The land is the owner's cloak.,10.92,The land is the host of its owner.,14.26
MW_045,Mugunda wene nduinagwo.,Another’s field is not praised.,Every man's field is well known to him.,10.55,The original owner of the land is not forgotten.,9.29,One does not inherit their own farm.,6.57
MW_046,Mugurira hakuhi nita aheo.,The man who buys something at a place near by is like the man who is given something.,"He who waits for something good, never gets tired.",2.38,He who perseveres will eventually succeed.,1.41,He who avoids work will not taste the fruit of wealth.,2.49
MW_047,Muhakana na ciake itimuuragira. .,He who stands close to his property does not lose it.,One who is not satisfied with what they have will not be satisfied with what they get.,2.83,One who denies his own will not prosper.,4.83,One who quarrels with his own does not prosper.,8.64
MW_048,Muici ndathiragwo ni mari hindi.,The thief cannot keep fit because his stools contain undigested food.,The one who is being sought is worth two hundred shillings.,4.03,A farmer is paid with many coins.,3.35,A poor man's plea is his wealth.,3.98
MW_049,Muici uri hunyu arindagira uri maguta.,"An ugly thief is more likely to be caught than one smeared with fat, i.e. carefully dressed.",A person who is in a hurry always arrives when the food is finished.,1.96,A poor person does not choose to be fat.,3.01,The one who is in the forest does not laugh at the one who is lost.,2.24
MW_050,Muici utari munyiite ni muria gake.,A thief who has not been caught is like a proprietor who has just spent his own money.,A silent person has his own thoughts.,3.51,A person who does not travel thinks his mother is the best cook.,3.11,A silent trader sells his own merchandise.,3.32
MW_051,Mukoobi thiiri ndendete kuriha. .,He who borrows does not like repaying.,A visitor does not carry a stool to the host's home.,7.5,A silent person has deep thoughts.,5.69,A persistent pauper cannot be denied a gift.,4.77
MW_052,Mundu-muka ndatumagwo thiriini.,A woman is not sent to fetch debts.,A person is not shown his/her adulthood.,9.98,A woman is not sent for dowry.,47.75,A woman is not sold for thirty goats.,31.56
MW_053,"Muriio wa njoohi niuriukagwo, no wa indo nduriukagwo. . (GJW M 341, Ba","The drunkenness of beer passes away, but that of wealth does not.","The one who has been bitten by a snake is afraid of an earthworm, and the one who has been burnt by hot soup is afraid of water.",1.86,"The borrower of beer is not told to hurry, but the borrower of money is told to hurry.",6.44,"The poverty of a drunkard is seen, but the poverty of the wealthy is hidden.",6.02
MW_054,"Muthiini niathinukaga, no munyamaari ndathiinukaga.","A poor man can overcome poverty, but a man poor at heart can never.","The one who is in the sun gets warm, and the one who is in the shade gets cold.",2.16,"The traveler gets tired, and so does the one who earns wealth.",2.93,"A poor man's goat gives birth, but a rich man's goat multiplies.",12.06
MW_055,Muthinio ni kuona akiriite muthinio ni waagi.,He who is troubled by wealth surpasses the one troubled by poverty.,Seeing is different from hearing.,3.01,"Seeing is daytime, not seeing is nighttime.",3.64,True wealth is seeing what you have; true poverty is lacking vision.,4.02
MW_056,Mutongi ndathethukaga. .,Whoever would like to be rich must have patience.,The guest has not yet spoken.,4.28,The traveler does not get lost.,4.28,The guest does not host himself.,4.28
MW_057,Mutongi ndathethukaga. .,Whoever would like to be rich must have patience.,The one who pays is the one who decides.,4.2,The traveler does not get lost.,4.28,The guest does not overstay.,4.17
MW_058,Mwana ni indo.,A child bears prosperity.,A child is a thing.,17.97,A child is wealth.,23.64,A child is wealth.,23.64
MW_059,Mwana wa kahii ti wa kairiitu.,"A male child, is not a female child.",The son of a poor man is not a young man.,13.55,The child of a frog is not the child of a squirrel.,8.13,The child of a poor man is not the child of a rich man.,6.92
MW_060,Mwanake wi na indo ndoihanaga.,"The youth who has enough to buy his girl, need not beseech her.",A man's wealth is not known by his words.,3.35,A man with wealth is never ugly.,2.3,A man who has wealth does not go unnoticed.,6.05
MW_061,Mwendia niaguraga.,The one who sells also buys.,A traveler is advised.,7.16,A traveler learns.,7.55,"The one who loves, shares.",26.27
MW_062,Muthuuri athikagwo na indo.,An old man is buried with his wealth.,A hunter is not judged by words.,5.8,A rich man is not stopped by wealth.,13.49,A wanderer is not burdened by wealth.,10.79
MW_063,Ndonga imwe ndihingaga iriuko.,A rich man cannot block the ford.,One finger cannot kill a louse.,6.77,One finger cannot kill a louse.,6.77,One finger cannot kill a louse.,6.77
MW_064,Ndonga naanu irugiitwo ni mukari.,"An arrogant rich man, is surpassed by a miser.",The spear that has been seen in advance does not kill a warrior.,3.38,The spear that has been lent is not used for digging.,4.03,A borrowed knife is returned by the handle.,5.02
MW_065,Ndugu nyingi ithaatagia muhuko.,Many acquaintances deplete the pocket.,Many siblings make the load lighter.,8.64,Many siblings do not guarantee inheritance.,7.81,Many siblings do not lack a helper.,6.57
MW_066,Ngai ndoonagio nda.,God is not shown one’s belly.,God does not give birth.,9.04,God does not sleep.,9.42,God does not despise the poor.,8.64
MW_067,Ngia itari thiiri ti ngia.,A poor person with no debts is not so poor a person.,A cow without a tail is not a cow.,7.82,A job without pay is not a job.,7.69,A cow without a calf is not a cow.,7.82
MW_069,"Riua ritiri gitonga no ngia theri. (Riua ritiui gitonga no ngia their) (GJW R 23,Ba","The sun has no rich people, but only the poor people.",A river does not prevent the growth of reeds on its banks.,3.67,A river does not flow and become a lake without a source.,3.09,A river does not flow with wealth for the poor.,6.92
MW_070,Ruthuuro rutiiyuragia ikumbi,Selected goods do not fill the granary.,A secret does not cross the threshold.,7.27,Borrowed things do not fill the granary.,68.04,Borrowed seeds do not fill the granary.,68.04
MW_071,Ruua rukuhi rutiri thogora.,A short hide is of no value.,A thrown stone is not without direction.,7.27,A small river does not prevent a journey.,5.67,A borrowed hoe does not cultivate the homestead.,5.67
MW_073,Thiina nduri miri .,Poverty has no roots.,The journey of a mile starts with one step.,4.2,The journey is not the same as the destination.,4.2,The journey is longer when walked alone.,5.52
MW_074,Thiiri utarihwo no wa urogi.,The only debt which is not payable is the one of poisoning someone.,A journey is not cursed by the one who does not embark on it.,7.86,There is no medicine for jealousy.,2.87,A river is not cursed by those who drink from it.,6.34
MW_075,Thogora nduri mwana na nyina.,"In business bargain, there is no child or mother.",A secret is between the child and the mother.,9.03,A child is taught by both the mother and father.,5.3,A child is a garment that adorns both the mother and the father.,4.02
MW_076,Thogora ni mururumo utaruo.,Buying and selling causes much noice but no strife.,"A secret is like a growing tumor, it will eventually come out.",2.84,A visitor is a blessing if he leaves.,4.27,A whisper is a roar to the attentive.,4.27
MW_077,Thogora ni maitho.,Buying and selling involves the eyes.,Observation is wisdom.,7.55,Elders are eyes.,15.09,Wisdom is in the eyes.,25.58
MW_078,Thogora uuragagwo ni kiongereri.,A bargain breaks down over the extra demand.,The one who is being carried does not realize how far the journey is.,3.13,The visitor is entertained with what is available.,4.77,The axe that fells the tree was sharpened by the whetstone.,4.03
MW_079,Tiga kwihira uriri wi riikoini. GJW T 85) MW,When you are poor do not equate yourself with the rich.,Do not refuse to sleep for fear of bad dreams.,4.07,Do not rush to celebrate before the day is over.,4.5,Don't rush to count your harvest while it's still in the fields.,3.67
MW_080,Uhunii eetaga uhutii mukoroku. .,"He who is satisfied, calls the hungry one greedy.","The one who despises you, feeds you with a long spoon.",4.37,A tree that bears fruit must endure the beating.,4.52,The one who desires honey must brave the bee sting.,5.3
MW_081,Ukari muhithe ndumenanagirwo. MW,Hidden miserliness does not attract scorn.,A guest is not served food that is not well cooked.,4.03,You are not called a hero until you prove it.,4.46,The wealth of a miser is never celebrated.,4.77
MW_082,"Urugari nduri indo, ni heho iri indo.","Warmth has no wealth, it is the cold that has.","A marketplace is not a place, it is people who make a place.",10.51,"Trade is not wealth, it is the profit that is wealth.",31.46,A borrowed cloak does not provide the warmth of one's own.,4.03
MW_083,Urume uri iraria.(Urume wi indo),Bravery brings wealth.,A guest is a blessing. (A guest brings luck),4.03,A man is a blessing. (A man is wealth),4.03,A borrower is a slave to the lender.,4.77
MW_084,Utaana uminagira murokerwo ng’ombe.,Generosity ruins the man who gives his cows to morning visitors.,The one who does not travel thinks his mother is the best cook.,4.02,You will not be asked how you acquired your wealth.,3.42,He who despises the small will lose the large.,4.52
MW_085,Utari ndari ngoro (Githumbi/ githumba gitiri ngoro),He who has nothing has no heart.,The stomach is not a sack (A belly/stomach is not a storage place).,2.15,There is no heart in a borrowed home (A rented/ borrowed home has no heart).,8.1,A house without a heart is not a home.,4.99
MW_086,Utari ndeetagwo ndundu. .,A poor man is not invited to a private discussion.,A place you have never been to is called far.,5.3,One does not lend a hunting dog.,5.0,No one is burdened beyond their capacity.,4.51
MW_087,Utari ni wa kwa mari. (Muthiini egiritagia itonga) .,"A poor man leans on the rich. Kiswahili : Maskini hutegemea matajiri. Meaning: Each person needs another, regardless of status. Teaching: This proverb teaches that within a family or community, people cannot be equal. Some are poor and others rich. But they need each other for daily objectives to be achieved. Bible parallel: 1 Thessalonians 5:11 “Therefore encourage one another and build each other up, just as in fact you are doing.”",A home is not built by its beauty. (A stick in the afternoon can't chase away a hyena).,0.13,He who is not at home does not inherit. (The absent one does not share in the wealth).,0.13,He who lacks is not of the wealthy. (A poor man does not despise wealth).,0.25
MW_088,Uthaka nduriagwo.,Beauty is not consumed.,A cooking pot is not blamed.,14.54,Soil is not sold.,23.64,Poverty is not chosen.,23.64
MW_089,Uthaka wa mundurume ni mbeeca. M,The beauty of a man is money.,A man's wealth is his character.,6.77,The wealth of a man is his sheep.,33.03,A man's wealth is his character.,6.77
MW_090,Uthuri wa gitonga ndunungaga.,A rich man’s breaking of wind is odourless.,The owner of wealth does not sleep.,5.8,The path of wealth is not straight.,6.41,The path to wealth is not for the faint-hearted.,4.99
MW_091,Utonga nduhanyukagiruo.,Riches are not rushed for.,The one who is absent does not inherit.,5.67,Wealth is not to be squandered.,7.81,Wealth is not stumbled upon.,9.65
MW_092,Utonga nduri nyoni.,Riches have no bird of ill will.,A visitor is like a bird.,6.77,Wealth does not make one a bird.,6.57,Wealth is a bird that flies away.,6.57
MW_093,Utonga ni kiiruru.,Riches are but a shadow.,Wealth is a visitor.,10.4,Wealth is a shadow.,32.56,Wealth is a whisper.,10.4
MW_094,Utonga ni wa ngai.,Wealth belongs to God.,Wealth belongs to God.,100.0,Wealth is from God.,23.64,Wealth is a gift from God.,14.54
MW_095,Utonga wa muthiini ni ciana. W,The wealth of the poor consists in having children.,The wealth of a home is its children.,19.97,The wealth of the poor is their children.,45.94,The wealth of the impoverished lies in their offspring.,29.07
MW_096,"Utonga wa muici nduthuunaga, na ni uteeaga wake.","Unlawful riches do not prosper, they ruin even the legitimate ones.","The poverty of a wise man does not last, it is his patience.",3.46,"The wealth of a thief is short-lived, and it does not benefit him.",3.46,"The wealth of a silent man grows, and it is his silence that nurtures it.",2.72
MW_097,Waariire aanyamaririe weigiire.,"He who ate (spent all his resources) persecuted the one who kept some aside. 98.Wagi ndumenanagirwo (GJW W 18, N 641) W English: Poverty does not cause enemity. 99.Waagi wi gitaranio. (KW vol.1 pg 348) W English: Lacking leads to dreamy thoughts of what the opposite would bring. 100.Wooni wi njaci. (Ba 991, KW vol.1 pg 321) MW English: The state of having acquired wealth, breeds contemptuous pride. A COLLECTION OF 100 PROVERBS AND WISE SAYINGS OF THE GIKUYU OF KENYA ABOUT MONEY AND WEALTH",Those who have traveled have stories to tell.,0.0,Those who have persevered have surpassed those who slept.,0.0,Those who have tasted wealth will not settle for less.,0.0
MW_098,Wagi ndumenanagirwo.,Poverty does not cause enemity.,Those who are absent are always wrong.,5.52,Guests are not counted.,10.4,Borrowed clothes do not keep one warm.,6.57
MW_099,Waagi wi gitaranio.,Lacking leads to dreamy thoughts of what the opposite would bring.,Traders know each other's secrets.,2.99,Those who are away are not part of the discussion.,4.5,Borrowed feathers do not make a peacock.,3.35
MW_100,"Wooni wi njaci. (woni wi njaci, wagi gitaranjo)","The state of having acquired wealth, breeds contemptuous pride.","If you despise your own, you will not be made a chief.",3.38,"If you despise hyenas, you will not set traps.",4.46,The eyes of the poor are not blind.,5.02
