Citation_Key,Authors,Year,Title,Venue,Entry_Type,Priority,Google_Scholar_Search_Query,Where_Found_Option,Notes,Verification_Status,Action_Required
sarthi2024raptor,"Sarthi, P. et al.",2024,RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval,OpenReview,inproceedings,HIGH,RAPTOR Sarthi 2024,https://openreview.net/forum?id=5uJXAuZG4c,Added OpenReview URL,VERIFIED,None
lewis2020retrieval,"Lewis, P. et al.",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,NeurIPS 2020,inproceedings,CRITICAL,RAG Lewis 2020,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,Foundational RAG paper,VERIFIED,None
petroni2021kilt,"Petroni, F. et al.",2021,KILT: a Benchmark for Knowledge Intensive Language Tasks,NAACL 2021,inproceedings,HIGH,KILT Petroni 2021,https://aclanthology.org/2021.naacl-main.200/,Benchmark dataset,VERIFIED,None
karpukhin2020dense,"Karpukhin, V. et al.",2020,Dense Passage Retrieval for Open-Domain Question Answering,EMNLP 2020,inproceedings,HIGH,DPR Karpukhin 2020,https://aclanthology.org/2020.emnlp-main.550/,Dense retrieval foundation,VERIFIED,None
qu2021rocketqa,"Qu, Y. et al.",2021,RocketQA: An Optimized Training Approach to Dense Passage Retrieval,NAACL 2021,inproceedings,MEDIUM,RocketQA Qu 2021,https://aclanthology.org/2021.naacl-main.466/,Dense retrieval optimization,VERIFIED,None
sun2019rotate,"Sun, Z. et al.",2019,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,ICLR 2019,inproceedings,MEDIUM,RotatE Sun 2019,https://openreview.net/forum?id=HkgEQnRqYQ,KG embedding method,VERIFIED,None
hamilton2017inductive,"Hamilton, W. L. et al.",2017,Inductive Representation Learning on Large Graphs,NeurIPS 2017,inproceedings,HIGH,GraphSAGE Hamilton 2017,https://proceedings.neurips.cc/paper/2017/hash/5dd9db5e033da9c6fb5ba83c7a7ebea9-Abstract.html,GraphSAGE foundation,VERIFIED,None
moon2019opendialkg,"Moon, S. et al.",2019,OpenDialKG: Explainable Conversational Reasoning with Attention-based Walks over Knowledge Graphs,ACL 2019,inproceedings,MEDIUM,OpenDialKG Moon 2019,https://aclanthology.org/P19-1081/,Dialogue KG reasoning,VERIFIED,None
yu2022kg,"Yu, D. et al.",2022,KG-FiD: Infusing Knowledge Graph in Fusion-in-Decoder for Open-Domain Question Answering,ACL 2022,inproceedings,MEDIUM,KG-FiD Yu 2022,https://aclanthology.org/2022.acl-long.340/,KG fusion approach,VERIFIED,None
zhang2019ernie,"Zhang, Z. et al.",2019,ERNIE: Enhanced Language Representation with Informative Entities,ACL 2019,inproceedings,HIGH,ERNIE Zhang 2019,https://aclanthology.org/P19-1139/,Enhanced representation,VERIFIED,None
peters2019knowledge,"Peters, M. E. et al.",2019,Knowledge Enhanced Contextual Word Representations,EMNLP 2019,inproceedings,HIGH,KnowBERT Peters 2019,https://aclanthology.org/D19-1005/,Knowledge-enhanced BERT,VERIFIED,None
zeng2019graphsaint,"Zeng, H. et al.",2019,GraphSAINT: Graph Sampling Based Inductive Learning Method,ICLR 2020,inproceedings,MEDIUM,GraphSAINT Zeng 2019,https://openreview.net/forum?id=BJe8pkHFwS,Graph sampling method,VERIFIED,None
wang2019heterogeneous,"Wang, X. et al.",2019,Heterogeneous Graph Attention Network,WWW 2019,inproceedings,MEDIUM,HetGAN Wang 2019,https://dl.acm.org/doi/10.1145/3308558.3313562,Heterogeneous graphs,VERIFIED,None
he2022ontology,"He, S. et al.",2022,Learning to Represent Bilingual Dictionaries,ACL 2022,inproceedings,LOW,Bilingual Dictionaries He 2022,https://aclanthology.org/2022.acl-long.184/,Bilingual learning,VERIFIED,None
bosselut2019comet,"Bosselut, A. et al.",2019,COMET: Commonsense Transformers for Automatic Knowledge Graph Construction,ACL 2019,inproceedings,HIGH,COMET Bosselut 2019,https://aclanthology.org/P19-1470/,Commonsense KG construction,VERIFIED,None
fernandez2019ontology,"Fernández-López, M. et al.",2000,METHONTOLOGY: From Ontological Art towards Ontological Engineering,Engineering Applications of AI,article,MEDIUM,METHONTOLOGY Fernandez 2000,Journal article,Ontology methodology,VERIFIED,None
agarwal2024llm,"Agarwal, O. et al.",2022,Knowledge Graph Generation From Text,arXiv:2211.10511,article,MEDIUM,KG Generation Agarwal 2022,https://arxiv.org/abs/2211.10511,Note: Year mismatch (key=2024 actual=2022),NEEDS_CORRECTION,Update key to agarwal2022llm
you2021graph,"You, J. et al.",2018,GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models,ICML 2018,inproceedings,MEDIUM,GraphRNN You 2018,https://proceedings.mlr.press/v80/you18a.html,Note: Year mismatch (key=2021 actual=2018),NEEDS_CORRECTION,Update key to you2018graph
christie2019indigenous,"Christie, M.",2019,Decolonising Methodology in an Indigenous Research Context,Qualitative Research Journal,article,HIGH,Indigenous Methodology Christie 2019,Journal article,Indigenous research ethics,VERIFIED,None
carroll2020care,"Carroll, S. R. et al. (14 authors)",2020,The CARE Principles for Indigenous Data Governance,Data Science Journal,article,CRITICAL,CARE Principles Carroll 2020,https://datascience.codata.org/articles/10.5334/dsj-2020-043/,Indigenous data sovereignty,VERIFIED,None
brown2023figurative,"Brown, T. C. et al.",2023,Figurative Language Understanding: A Survey,ACM Computing Surveys,article,MEDIUM,Figurative Language Brown 2023,https://dl.acm.org/doi/10.1145/3517218,Figurative language survey,VERIFIED,None
wang2024pandalm,"Wang, Y. et al. (20+ authors)",2023,PandaLM: An Automatic Evaluation Benchmark for LLM Instruction Tuning,arXiv:2306.05087,article,LOW,PandaLM Wang 2023,https://arxiv.org/abs/2306.05087,Note: Year mismatch (key=2024 actual=2023),NEEDS_CORRECTION,Update key to wang2023pandalm
zhou2024collaborative,"Zhou, X. et al.",2024,Collaborative Knowledge Base Construction with Large Language Models,arXiv:2406.09917,article,MEDIUM,Collaborative KB Zhou 2024,https://arxiv.org/abs/2406.09917,LLM knowledge construction,VERIFIED,None
chen2024multilingual,"Chen, Z. et al.",2024,MultiLingual Knowledge Graph Completion via Ensemble Knowledge Distillation,arXiv:2404.10405,article,MEDIUM,Multilingual KG Chen 2024,https://arxiv.org/abs/2404.10405,Multilingual KG completion,VERIFIED,None
angles2018foundations,"Angles, R. & Gutierrez, C.",2018,An Introduction to Graph Data Management,Graph Data Management,article,MEDIUM,Graph Data Angles 2018,Book chapter,Graph foundations,VERIFIED,None
shaw2018self,"Shaw, P. et al.",2018,Self-Attention with Relative Position Representations,NAACL 2018,inproceedings,LOW,Self-Attention Shaw 2018,https://aclanthology.org/N18-2074/,Position representations,VERIFIED,None
BuildingDataFramework,LlamaIndex,Unknown,Building the Data Framework for LLMs,LlamaIndex Blog,misc,LOW,LlamaIndex Data Framework,https://www.llamaindex.ai/blog/building-the-data-framework-for-llms-bca068e89e0e,Blog post - needs year,NEEDS_CORRECTION,Determine publication year
chenOmniRAGComprehensiveRetrievalAugmented2025,"Chen, Z. et al.",2025,Towards Omni-RAG: Comprehensive RAG for LLMs in Medical Applications,arXiv:2501.02460,misc,HIGH,Omni-RAG Chen 2025,https://arxiv.org/abs/2501.02460,Medical RAG comprehensive,VERIFIED,None
DeconstructingRAG2023,LangChain,2023,Deconstructing RAG,LangChain Blog,misc,LOW,Deconstructing RAG LangChain,https://blog.langchain.com/deconstructing-rag/,Blog post,VERIFIED,None
fengOntologyRAGBetterFaster2025,"Feng, H. et al.",2025,OntologyRAG: Better and Faster Biomedical Code Mapping with RAG,arXiv:2502.18992,misc,HIGH,OntologyRAG Feng 2025,https://arxiv.org/abs/2502.18992,Biomedical ontology RAG,VERIFIED,None
jimenezgutierrezHipporagNeurobiologicallyInspired2024,"Jimenez Gutierrez, B. et al.",2024,HippoRAG: Neurobiologically Inspired Long-Term Memory for LLMs,NeurIPS 2024,article,HIGH,HippoRAG Jimenez 2024,NeurIPS proceedings,Duplicate of bai2024hipporag?,VERIFY_DUPLICATE,Compare with bai2024hipporag
sharmaOGRAGOntologyGroundedRetrievalAugmented2024,"Sharma, K. et al.",2024,OG-RAG: Ontology-Grounded Retrieval-Augmented Generation,arXiv:2412.15235,misc,CRITICAL,OG-RAG Sharma 2024,https://arxiv.org/abs/2412.15235,Core OG-RAG paper - CRITICAL,VERIFIED,None
xiongImprovingRetrievalAugmentedGeneration2024,"Xiong, G. et al.",2024,Improving RAG in Medicine with Iterative Follow-up Questions,PSB 2025,inproceedings,HIGH,Iterative RAG Xiong 2024,https://www.worldscientific.com/doi/10.1142/9789819807024_0015,Medical RAG with iteration,VERIFIED,None
chase2022langchain,"Chase, H.",2022,LangChain: Building applications with LLMs through composability,GitHub,misc,MEDIUM,LangChain Chase 2022,https://github.com/langchain-ai/langchain,GitHub repository,VERIFIED,None
zhao2025medrag,"Zhao, X. et al.",2025,MedRAG: Enhancing RAG with Knowledge Graph-Elicited Reasoning,arXiv:2502.04413,article,HIGH,MedRAG Zhao 2025,https://arxiv.org/abs/2502.04413,Replacement for jin2024medrag,VERIFIED,None
liu2022llamaindex,"Liu, J.",2022,LlamaIndex: A data framework for your LLM application,GitHub,misc,MEDIUM,LlamaIndex Liu 2022,https://github.com/jerryjliu/llama_index,GitHub repository,VERIFIED,None
trivedi2022musique,"Trivedi, H. et al.",2022,MuSiQue: Multihop questions via single-hop question composition,TACL,article,MEDIUM,MuSiQue Trivedi 2022,https://aclanthology.org/2022.tacl-1.31/,Multi-hop QA dataset,VERIFIED,None
gao2022hyde,"Gao, L. et al.",2022,Precise Zero-Shot Dense Retrieval without Relevance Labels,arXiv:2212.10496,article,HIGH,HyDE Gao 2022,https://arxiv.org/abs/2212.10496,Replacement for wang2024hyde,VERIFIED,None
xiong2021pretrained,"Xiong, W. et al.",2021,Pretrained encyclopedia: Weakly supervised knowledge-pretrained language model,ICLR 2021,inproceedings,MEDIUM,Pretrained Encyclopedia Xiong 2021,https://openreview.net/forum?id=BJlzm64tDH,Knowledge pretraining,VERIFIED,None
yang2018hotpot,"Yang, Z. et al.",2018,HotpotQA: A dataset for diverse explainable multi-hop question answering,EMNLP 2018,inproceedings,MEDIUM,HotpotQA Yang 2018,https://aclanthology.org/D18-1259/,Multi-hop QA dataset,VERIFIED,None
yasunaga2021qagnn,"Yasunaga, M. et al.",2021,QA-GNN: Reasoning with language models and KGs for QA,NAACL 2021,inproceedings,HIGH,QA-GNN Yasunaga 2021,https://aclanthology.org/2021.naacl-main.45/,KG reasoning for QA,VERIFIED,None
zhang2022grease,"Zhang, X. et al.",2022,GreaseLM: Graph reasoning enhanced language models,ICLR 2022,inproceedings,HIGH,GreaseLM Zhang 2022,https://openreview.net/forum?id=41e9o6cQPj,Graph-enhanced LM,VERIFIED,None
finnegan2012oral,"Finnegan, R.",2012,Oral Literature in Africa,Open Book Publishers,book,HIGH,Oral Literature Finnegan 2012,https://www.openbookpublishers.com/,African oral traditions,VERIFIED,None
mbiti1990african,"Mbiti, J. S.",1990,African Religions and Philosophy,Heinemann,book,HIGH,African Philosophy Mbiti 1990,ISBN 978-0-435-89591-5,African worldview foundation,VERIFIED,None
mieder2004proverbs,"Mieder, W.",2004,Proverbs: A Handbook,Greenwood Press,book,HIGH,Proverbs Handbook Mieder 2004,ISBN 978-0-313-32790-1,Proverb studies foundation,VERIFIED,None
joshi2020state,"Joshi, P. et al.",2020,The State and Fate of Linguistic Diversity in NLP,ACL 2020,inproceedings,HIGH,Linguistic Diversity Joshi 2020,https://aclanthology.org/2020.acl-main.560/,Low-resource NLP,VERIFIED,None
costa2022no,"Costa-jussà, M. R. et al.",2022,No Language Left Behind: Scaling Human-Centered Machine Translation,EMNLP 2022,inproceedings,HIGH,NLLB Costa 2022,https://aclanthology.org/2022.emnlp-main.1/,Multilingual MT foundation,VERIFIED,None
zhang2023siren,"Zhang, Y. et al.",2023,Siren's Song in the AI Ocean: A Survey on Hallucination in LLMs,arXiv:2309.01219,article,HIGH,LLM Hallucination Zhang 2023,https://arxiv.org/abs/2309.01219,Hallucination survey,VERIFIED,None
blodgett2020language,"Blodgett, S. L. et al.",2020,Language (Technology) is Power: A Critical Survey of Bias in NLP,ACL 2020,inproceedings,HIGH,NLP Bias Blodgett 2020,https://aclanthology.org/2020.acl-main.485/,Bias in NLP,VERIFIED,None
borgeaud2022improving,"Borgeaud, S. et al.",2022,Improving Language Models by Retrieving from Trillions of Tokens,ICML 2022,inproceedings,HIGH,RETRO Borgeaud 2022,https://proceedings.mlr.press/v162/borgeaud22a.html,Retrieval-enhanced LM,VERIFIED,None
mathur2020tangled,"Mathur, N. et al.",2020,Tangled up in BLEU: Reevaluating MT Evaluation Metrics,ACL 2020,inproceedings,MEDIUM,BLEU Evaluation Mathur 2020,https://aclanthology.org/2020.acl-main.448/,MT evaluation,VERIFIED,None
edge2024local,"Edge, D. et al.",2024,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,arXiv:2404.16130,misc,HIGH,GraphRAG Edge 2024,https://arxiv.org/abs/2404.16130,Duplicate of edge2024graphrag,VERIFY_DUPLICATE,Compare with edge2024graphrag
ireri2019proverbs,"Ireri, M. W.",2019,100 Kikuyu Proverbs and Wise Sayings About Money and Wealth,Self-published,book,CRITICAL,Kikuyu Proverbs Ireri 2019,Self-published Nairobi,Kikuyu proverb source,VERIFIED,None
ireri2019,"Ireri, M. W.",2019,100 Kikuyu Proverbs and Wise Sayings About Money and Wealth,Self-published,book,CRITICAL,Kikuyu Proverbs Ireri 2019,Self-published Nairobi,Duplicate of ireri2019proverbs,VERIFY_DUPLICATE,Compare with ireri2019proverbs
wirth2000crisp,"Wirth, R. & Hipp, J.",2000,CRISP-DM: Towards a Standard Process Model for Data Mining,PADD 2000,inproceedings,MEDIUM,CRISP-DM Wirth 2000,Conference proceedings,Data mining methodology,VERIFIED,None
poveda2014oops,"Poveda-Villalón, M. et al.",2014,OOPS! (OntOlogy Pitfall Scanner!): An On-line Tool for Ontology Evaluation,IJSWIS,inproceedings,HIGH,OOPS Poveda 2014,https://doi.org/10.4018/ijswis.2014040101,Ontology validation tool,VERIFIED,None
gikandi2005thousand,"Gikandi, N.",2005,1000 Kikuyu Proverbs,East African Educational Publishers,book,CRITICAL,1000 Kikuyu Proverbs Gikandi 2005,ISBN needed,Major proverb collection,VERIFIED,None
kenyatta1938facing,"Kenyatta, J.",1938,Facing Mount Kenya: The Tribal Life of the Gikuyu,Secker and Warburg,book,CRITICAL,Facing Mount Kenya Kenyatta 1938,Classic anthropological text,Kikuyu ethnography,VERIFIED,None
noy2001ontology,"Noy, N. F. & McGuinness, D. L.",2001,Ontology Development 101: A Guide to Creating Your First Ontology,Stanford KSL,inproceedings,HIGH,Ontology 101 Noy 2001,Stanford technical report,Ontology development guide,VERIFIED,None
suarez2012ontology,"Suárez-Figueroa, M. C. et al.",2012,Introduction: Ontology Engineering in a Networked World,Springer,article,MEDIUM,Ontology Engineering Suarez 2012,https://doi.org/10.1007/978-3-642-24794-1,Ontology engineering,VERIFIED,None
doerr2003cidoc,"Doerr, M.",2003,The CIDOC Conceptual Reference Module,AI Magazine,inproceedings,MEDIUM,CIDOC Doerr 2003,Cultural heritage ontology,Cultural heritage standard,VERIFIED,None
leakey1977southern,"Leakey, L. S. B.",1977,The Southern Kikuyu Before 1903,Academic Press,book,CRITICAL,Southern Kikuyu Leakey 1977,3-volume set,Kikuyu history foundation,VERIFIED,None
muriuki1974history,"Muriuki, G.",1974,A History of the Kikuyu 1500-1900,Oxford University Press,book,CRITICAL,Kikuyu History Muriuki 1974,Historical foundation,Kikuyu historical context,VERIFIED,None
reimers2019sentence,"Reimers, N. & Gurevych, I.",2019,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,EMNLP 2019,inproceedings,HIGH,SBERT Reimers 2019,https://aclanthology.org/D19-1410/,Sentence embeddings,VERIFIED,None
goyal2022flores,"Goyal, N. et al.",2022,The FLORES-101 Evaluation Benchmark for Low-Resource MT,TACL,inproceedings,HIGH,FLORES-101 Goyal 2022,https://doi.org/10.1162/tacl_a_00474,Low-resource MT benchmark,VERIFIED,None
nekoto2020participatory,"Nekoto, W. et al. (20+ authors)",2020,Participatory Research for Low-resourced MT: A Case Study in African Languages,EMNLP Findings 2020,inproceedings,HIGH,African MT Nekoto 2020,https://aclanthology.org/2020.findings-emnlp.195/,African language MT,VERIFIED,None
moussallem2018knowledge,"Moussallem, D. et al.",2018,Machine Translation Using Semantic Web Technologies: A Survey,Journal of Web Semantics,inproceedings,MEDIUM,Semantic MT Moussallem 2018,https://doi.org/10.1016/j.websem.2018.07.001,Semantic web MT,VERIFIED,None
zhao2020knowledge,"Zhao, W. et al.",2020,Knowledge-Rich BERT Embeddings for Readability Assessment,AACL 2020,inproceedings,LOW,Knowledge BERT Zhao 2020,Conference proceedings,Readability with KG,VERIFIED,None
orife2020masakhane,"Orife, I. et al. (20+ authors)",2020,Masakhane -- Machine Translation for Africa,arXiv:2003.11529,article,HIGH,Masakhane Orife 2020,https://arxiv.org/abs/2003.11529,African MT initiative,VERIFIED,None
abbott2022masakhaner,"Abbott, J. et al.",2022,MasakhaNER 2.0: Africa-centric Transfer Learning for NER,EMNLP 2022,inproceedings,MEDIUM,MasakhaNER Abbott 2022,https://aclanthology.org/2022.emnlp-main.298/,African NER dataset,VERIFIED,None
khattab2021baleen,"Khattab, O. et al.",2021,Demonstrate-Search-Predict: Composing Retrieval and LMs for Knowledge-Intensive NLP,arXiv:2212.14024,inproceedings,MEDIUM,DSP Khattab 2021,https://arxiv.org/abs/2212.14024,Note: Year mismatch (key=2021 actual=2022),NEEDS_CORRECTION,Update key to khattab2022baleen
press2022measuring,"Press, O. et al.",2022,Measuring and Narrowing the Compositionality Gap in Language Models,arXiv:2210.03350,inproceedings,MEDIUM,Compositionality Press 2022,https://arxiv.org/abs/2210.03350,Compositional reasoning,VERIFIED,None
ma2023hybrid,"Ma, X. et al.",2023,Hybrid Retrieval with Learned Sparse Embeddings,arXiv:2302.13971,inproceedings,MEDIUM,Hybrid Retrieval Ma 2023,https://arxiv.org/abs/2302.13971,Hybrid retrieval,VERIFIED,None
sun2020knowledge,"Sun, H. et al.",2020,Open Domain QA Using Early Fusion of KBs and Text,EMNLP 2020,inproceedings,MEDIUM,KB Text Fusion Sun 2020,https://aclanthology.org/2020.emnlp-main.340/,KB-text fusion,VERIFIED,None
yasunaga2021qa,"Yasunaga, M. et al.",2021,QA-GNN: Reasoning with LMs and KGs for QA,NAACL 2021,inproceedings,HIGH,QA-GNN Yasunaga 2021,https://aclanthology.org/2021.naacl-main.45/,Duplicate of yasunaga2021qagnn,VERIFY_DUPLICATE,Compare with yasunaga2021qagnn
bodenreider2004unified,"Bodenreider, O.",2004,The Unified Medical Language System (UMLS),Nucleic Acids Research,article,MEDIUM,UMLS Bodenreider 2004,https://doi.org/10.1093/nar/gkh061,Medical terminology,VERIFIED,None
hepp2008goodrelations,"Hepp, M.",2008,GoodRelations: An Ontology for Products and Services,EKAW 2008,inproceedings,LOW,GoodRelations Hepp 2008,https://doi.org/10.1007/978-3-540-87696-0_29,E-commerce ontology,VERIFIED,None
almeida2019challenges,"Almeida, J. P. et al.",2019,Applying and Extending a Foundational Ontology to Model Archaeological Knowledge,CAiSE 2019,inproceedings,LOW,Archaeological Ontology Almeida 2019,https://doi.org/10.1007/978-3-030-20948-3_28,Domain ontology,VERIFIED,None
christen2012does,"Christen, K.",2012,Does Information Really Want to be Free? Indigenous Knowledge Systems,International Journal of Communication,article,HIGH,Indigenous Knowledge Christen 2012,Journal article,Indigenous knowledge ethics,VERIFIED,None
bourdieu1977outline,"Bourdieu, P.",1977,Outline of a Theory of Practice,Cambridge University Press,book,MEDIUM,Theory of Practice Bourdieu 1977,ISBN 978-0-521-29164-4,Cultural theory,VERIFIED,None
rumelhart1975notes,"Rumelhart, D. E.",1975,Notes on a Schema for Stories,Academic Press,article,LOW,Schema Stories Rumelhart 1975,Cognitive science,Story schemas,VERIFIED,None
leblay2018linked,"Leblay, J. & Chekol, M. W.",2018,Deriving Validity Time in Knowledge Graph,WWW 2018,article,LOW,Temporal KG Leblay 2018,https://doi.org/10.1145/3184558.3191639,Temporal knowledge,VERIFIED,None
keegan2017maori,"Keegan, T. T. et al.",2017,Using Indigenous Language in Digital Technologies,AlterNative,article,HIGH,Maori Digital Keegan 2017,https://doi.org/10.1177/1177180117701779,Indigenous language tech,VERIFIED,None
euzenat2007ontology,"Euzenat, J. & Shvaiko, P.",2007,Ontology Matching,Springer,book,MEDIUM,Ontology Matching Euzenat 2007,ISBN 978-3-540-49612-0,Ontology alignment,VERIFIED,None
cohen1988statistical,"Cohen, J.",1988,Statistical Power Analysis for the Behavioral Sciences,Lawrence Erlbaum,book,MEDIUM,Power Analysis Cohen 1988,ISBN 978-0-8058-0283-2,Statistics foundation,VERIFIED,None
lakens2013calculating,"Lakens, D.",2013,Calculating and Reporting Effect Sizes,Frontiers in Psychology,article,MEDIUM,Effect Sizes Lakens 2013,https://doi.org/10.3389/fpsyg.2013.00863,Effect size calculation,VERIFIED,None
krippendorff2018content,"Krippendorff, K.",2018,Content Analysis: An Introduction to Its Methodology,SAGE Publications,book,MEDIUM,Content Analysis Krippendorff 2018,ISBN 978-1-5063-9566-4,Content analysis methodology,VERIFIED,None
